"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Jan 2027 00:00:00.000,1 Jan 2027 00:08:48.319,528.319,1 Jan 2027 00:08:48.319,1 Jan 2027 00:08:58.014,9.695,1 Jan 2027 00:08:58.014,1 Jan 2027 00:43:28.197,2070.183
1 Jan 2027 00:43:37.838,1 Jan 2027 01:41:35.958,3478.120,1 Jan 2027 00:43:28.197,1 Jan 2027 00:43:37.838,9.641,1 Jan 2027 01:41:45.647,1 Jan 2027 02:16:16.205,2070.558
1 Jan 2027 02:16:25.839,1 Jan 2027 03:14:23.578,3477.739,1 Jan 2027 01:41:35.958,1 Jan 2027 01:41:45.647,9.689,1 Jan 2027 03:14:33.262,1 Jan 2027 03:49:04.204,2070.942
1 Jan 2027 03:49:13.831,1 Jan 2027 04:47:11.185,3477.354,1 Jan 2027 02:16:16.205,1 Jan 2027 02:16:25.839,9.634,1 Jan 2027 04:47:20.863,1 Jan 2027 05:21:52.204,2071.340
1 Jan 2027 05:22:01.825,1 Jan 2027 06:19:58.775,3476.951,1 Jan 2027 03:14:23.578,1 Jan 2027 03:14:33.262,9.684,1 Jan 2027 06:20:08.447,1 Jan 2027 06:54:40.198,2071.750
1 Jan 2027 06:54:49.808,1 Jan 2027 07:52:46.349,3476.541,1 Jan 2027 03:49:04.204,1 Jan 2027 03:49:13.831,9.627,1 Jan 2027 07:52:56.015,1 Jan 2027 08:27:28.187,2072.172
1 Jan 2027 08:27:37.790,1 Jan 2027 09:25:33.906,3476.116,1 Jan 2027 04:47:11.185,1 Jan 2027 04:47:20.863,9.678,1 Jan 2027 09:25:43.565,1 Jan 2027 10:00:16.172,2072.607
1 Jan 2027 10:00:25.768,1 Jan 2027 10:58:21.447,3475.679,1 Jan 2027 05:21:52.204,1 Jan 2027 05:22:01.825,9.621,1 Jan 2027 10:58:31.100,1 Jan 2027 11:33:04.148,2073.049
1 Jan 2027 11:33:13.738,1 Jan 2027 12:31:08.972,3475.234,1 Jan 2027 06:19:58.775,1 Jan 2027 06:20:08.447,9.672,1 Jan 2027 12:31:18.617,1 Jan 2027 13:05:52.121,2073.504
1 Jan 2027 13:06:01.701,1 Jan 2027 14:03:56.480,3474.779,1 Jan 2027 06:54:40.198,1 Jan 2027 06:54:49.808,9.611,1 Jan 2027 14:04:06.118,1 Jan 2027 14:38:40.088,2073.970
1 Jan 2027 14:38:49.661,1 Jan 2027 15:36:43.970,3474.310,1 Jan 2027 07:52:46.349,1 Jan 2027 07:52:56.015,9.665,1 Jan 2027 15:36:53.601,1 Jan 2027 16:11:28.050,2074.449
1 Jan 2027 16:11:37.610,1 Jan 2027 17:09:31.444,3473.834,1 Jan 2027 08:27:28.187,1 Jan 2027 08:27:37.790,9.603,1 Jan 2027 17:09:41.068,1 Jan 2027 17:44:16.003,2074.936
1 Jan 2027 17:44:25.556,1 Jan 2027 18:42:18.901,3473.345,1 Jan 2027 09:25:33.906,1 Jan 2027 09:25:43.565,9.659,1 Jan 2027 18:42:28.517,1 Jan 2027 19:17:03.949,2075.431
1 Jan 2027 19:17:13.491,1 Jan 2027 20:15:06.340,3472.849,1 Jan 2027 10:00:16.172,1 Jan 2027 10:00:25.768,9.596,1 Jan 2027 20:15:15.948,1 Jan 2027 20:49:51.887,2075.939
