"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
21 Mar 2027 00:00:00.000,21 Mar 2027 00:09:16.909,556.909,21 Mar 2027 00:09:16.909,21 Mar 2027 00:09:26.194,9.285,21 Mar 2027 00:09:26.194,21 Mar 2027 00:43:59.947,2073.753
21 Mar 2027 00:44:09.331,21 Mar 2027 01:42:04.066,3474.735,21 Mar 2027 00:43:59.947,21 Mar 2027 00:44:09.331,9.383,21 Mar 2027 01:42:13.374,21 Mar 2027 02:16:45.545,2072.170
21 Mar 2027 02:16:54.953,21 Mar 2027 03:14:51.253,3476.300,21 Mar 2027 01:42:04.066,21 Mar 2027 01:42:13.374,9.308,21 Mar 2027 03:15:00.585,21 Mar 2027 03:49:31.151,2070.567
21 Mar 2027 03:49:40.584,21 Mar 2027 04:47:38.470,3477.886,21 Mar 2027 02:16:45.545,21 Mar 2027 02:16:54.953,9.408,21 Mar 2027 04:47:47.825,21 Mar 2027 05:22:16.773,2068.948
21 Mar 2027 05:22:26.234,21 Mar 2027 06:20:25.717,3479.483,21 Mar 2027 03:14:51.253,21 Mar 2027 03:15:00.585,9.332,21 Mar 2027 06:20:35.096,21 Mar 2027 06:55:02.408,2067.312
21 Mar 2027 06:55:11.891,21 Mar 2027 07:53:12.994,3481.103,21 Mar 2027 03:49:31.151,21 Mar 2027 03:49:40.584,9.433,21 Mar 2027 07:53:22.398,21 Mar 2027 08:27:48.056,2065.658
21 Mar 2027 08:27:57.567,21 Mar 2027 09:26:00.303,3482.735,21 Mar 2027 04:47:38.470,21 Mar 2027 04:47:47.825,9.355,21 Mar 2027 09:26:09.731,21 Mar 2027 10:00:33.720,2063.989
21 Mar 2027 10:00:43.251,21 Mar 2027 10:58:47.642,3484.390,21 Mar 2027 05:22:16.773,21 Mar 2027 05:22:26.234,9.460,21 Mar 2027 10:58:57.094,21 Mar 2027 11:33:19.394,2062.300
21 Mar 2027 11:33:28.952,21 Mar 2027 12:31:35.012,3486.060,21 Mar 2027 06:20:25.717,21 Mar 2027 06:20:35.096,9.379,21 Mar 2027 12:31:44.490,21 Mar 2027 13:06:05.080,2060.590
21 Mar 2027 13:06:14.668,21 Mar 2027 14:04:22.414,3487.746,21 Mar 2027 06:55:02.408,21 Mar 2027 06:55:11.891,9.483,21 Mar 2027 14:04:31.917,21 Mar 2027 14:38:50.786,2058.869
21 Mar 2027 14:39:00.397,21 Mar 2027 15:37:09.848,3489.450,21 Mar 2027 07:53:12.994,21 Mar 2027 07:53:22.398,9.404,21 Mar 2027 15:37:19.377,21 Mar 2027 16:11:36.500,2057.124
21 Mar 2027 16:11:46.145,21 Mar 2027 17:09:57.313,3491.168,21 Mar 2027 08:27:48.056,21 Mar 2027 08:27:57.567,9.511,21 Mar 2027 17:10:06.868,21 Mar 2027 17:44:22.233,2055.365
21 Mar 2027 17:44:31.902,21 Mar 2027 18:42:44.811,3492.909,21 Mar 2027 09:26:00.303,21 Mar 2027 09:26:09.731,9.428,21 Mar 2027 18:42:54.393,21 Mar 2027 19:17:07.983,2053.591
21 Mar 2027 19:17:17.680,21 Mar 2027 20:15:32.342,3494.662,21 Mar 2027 10:00:33.720,21 Mar 2027 10:00:43.251,9.532,21 Mar 2027 20:15:41.950,21 Mar 2027 20:49:53.744,2051.794
21 Mar 2027 20:50:03.469,21 Mar 2027 21:48:19.906,3496.437,21 Mar 2027 10:58:47.642,21 Mar 2027 10:58:57.094,9.453,21 Mar 2027 21:48:29.540,21 Mar 2027 22:22:39.526,2049.986
21 Mar 2027 22:22:49.276,21 Mar 2027 23:21:07.502,3498.226,21 Mar 2027 11:33:19.394,21 Mar 2027 11:33:28.952,9.558,21 Mar 2027 23:21:17.164,21 Mar 2027 23:55:25.322,2048.158
21 Mar 2027 23:55:35.101,22 Mar 2027 00:53:55.132,3500.032,21 Mar 2027 12:31:35.012,21 Mar 2027 12:31:44.490,9.478,22 Mar 2027 00:54:04.822,22 Mar 2027 01:28:11.131,2046.309
22 Mar 2027 01:28:20.942,22 Mar 2027 02:26:42.796,3501.854,21 Mar 2027 13:06:05.080,21 Mar 2027 13:06:14.668,9.588,22 Mar 2027 02:26:52.513,22 Mar 2027 03:00:56.960,2044.447
22 Mar 2027 03:01:06.803,22 Mar 2027 03:59:30.494,3503.691,21 Mar 2027 14:04:22.414,21 Mar 2027 14:04:31.917,9.503,22 Mar 2027 03:59:40.239,22 Mar 2027 04:33:42.806,2042.567
22 Mar 2027 04:33:52.676,22 Mar 2027 05:32:18.226,3505.550,21 Mar 2027 14:38:50.786,21 Mar 2027 14:39:00.397,9.612,22 Mar 2027 05:32:27.999,22 Mar 2027 06:06:28.670,2040.671
22 Mar 2027 06:06:38.570,22 Mar 2027 07:05:05.992,3507.422,21 Mar 2027 15:37:09.848,21 Mar 2027 15:37:19.377,9.529,22 Mar 2027 07:05:15.794,22 Mar 2027 07:39:14.555,2038.761
22 Mar 2027 07:39:24.482,22 Mar 2027 08:37:53.793,3509.311,21 Mar 2027 16:11:36.500,21 Mar 2027 16:11:46.145,9.645,22 Mar 2027 08:38:03.624,22 Mar 2027 09:12:00.453,2036.829
22 Mar 2027 09:12:10.413,22 Mar 2027 10:10:41.629,3511.216,21 Mar 2027 17:09:57.313,21 Mar 2027 17:10:06.868,9.555,22 Mar 2027 10:10:51.489,22 Mar 2027 10:44:46.374,2034.885
