"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
1 Jan 2027 00:00:00.000,68306384.457873,-127588897.960421,-26347526.072860,147101601.522966,0.464348,-0.867352,-0.179111,-61.837,-10.318,100.318,10.318,62.332,150.152,100.318,-2.570487,-29745.729628,144001.173152,147041.308165
1 Jan 2027 00:01:00.000,68304983.230274,-129080323.736033,-17654658.501555,147101963.537859,0.464338,-0.877489,-0.120016,-62.114,-6.893,96.893,6.893,62.333,151.341,96.893,-16.393470,-19941.974895,145684.538870,147043.080413
1 Jan 2027 00:02:00.000,68303581.444081,-129980201.178631,-8880754.192259,147102344.412143,0.464327,-0.883604,-0.060371,-62.278,-3.461,93.461,3.461,62.333,152.080,93.461,-30.343446,-10046.718284,146700.262691,147043.886451
1 Jan 2027 00:03:00.000,68302179.099285,-130284399.649082,-66021.147794,147102742.396002,0.464316,-0.885669,-0.000449,-62.334,-0.026,90.026,0.026,62.334,152.334,90.026,-44.163113,-105.305613,147043.682212,147043.726551
1 Jan 2027 00:04:00.000,68300776.195879,-129991518.327865,8749145.063374,147103155.661200,0.464305,-0.883676,0.059476,-62.281,3.410,86.590,-3.410,62.335,152.089,86.590,-57.597712,9836.705183,146713.216001,147042.619113
1 Jan 2027 00:05:00.000,68299372.733854,-129102892.665806,17524346.428902,147103582.309462,0.464294,-0.877633,0.119129,-62.120,6.842,83.158,-6.842,62.335,151.358,83.158,-70.399820,19733.752795,145710.370880,147040.600303
1 Jan 2027 00:06:00.000,68297968.713202,-127622588.295182,26219367.627649,147104020.381174,0.464283,-0.867567,0.178237,-61.846,10.267,79.733,-10.267,62.336,150.177,79.733,-82.333978,29540.481311,144039.735053,147037.723354
1 Jan 2027 00:07:00.000,68296564.133914,-125557382.428947,34794360.329644,147104467.864358,0.464273,-0.853525,0.236528,-61.456,13.682,76.318,-13.682,62.337,148.597,76.318,-93.181079,39211.948051,141708.957114,147034.057548
1 Jan 2027 00:08:00.000,68295158.995983,-122916732.833187,43210025.816319,147104922.703894,0.464262,-0.835572,0.293736,-60.943,17.082,72.918,-17.082,62.338,146.675,72.918,-102.742419,48703.829513,138728.711033,147029.686900
1 Jan 2027 00:09:00.000,68293753.299401,-119712734.514848,51427795.084086,147105382.810938,0.464251,-0.813789,0.349598,-60.296,20.463,69.537,-20.463,62.338,144.468,69.537,-110.843344,57972.624496,135112.647269,147024.708567
1 Jan 2027 00:10:00.000,68292347.044160,-115960064.323090,59410005.605862,147105846.072492,0.464240,-0.788276,0.403859,-59.505,23.820,66.180,-23.820,62.339,142.025,66.180,-117.336414,66975.853466,130877.330253,147019.231019
1 Jan 2027 00:11:00.000,68290940.230254,-111675913.718007,67120073.940427,147106310.361086,0.464228,-0.759151,0.456269,-58.554,27.147,62.853,-27.147,62.340,139.389,62.853,-122.104044,75672.253245,126042.162506,147013.372010
1 Jan 2027 00:12:00.000,68289532.857675,-106879910.014678,74522663.398565,147106773.544528,0.464217,-0.726546,0.506589,-57.424,30.437,59.563,-30.437,62.340,136.598,59.563,-125.060565,84021.966142,120629.295755,147007.256381
1 Jan 2027 00:13:00.000,68288124.926418,-101594026.463343,81583845.997532,147107233.495670,0.464206,-0.690612,0.554588,-56.092,33.682,56.318,-33.682,62.341,133.679,56.318,-126.153676,91986.722645,114663.529448,147001.013749
1 Jan 2027 00:14:00.000,68286716.436477,-95842481.577662,88271257.961595,147107688.102161,0.464195,-0.651512,0.600045,-54.531,36.873,53.127,-36.873,62.342,130.656,53.127,-125.365281,99530.016848,108172.197135,146994.776109
1 Jan 2027 00:15:00.000,68285307.387848,-89651628.172270,94554248.055950,147108135.276122,0.464184,-0.609427,0.642753,-52.704,39.997,50.003,-39.997,62.343,127.548,50.003,-122.711684,106617.273803,101185.041232,146988.675416
1 Jan 2027 00:16:00.000,68283897.780526,-83049832.618051,100404018.074145,147108572.963715,0.464173,-0.564548,0.682516,-50.573,43.041,46.959,-43.041,62.343,124.371,46.959,-118.243172,113216.008026,93734.076746,146982.841169
1 Jan 2027 00:17:00.000,68282487.614508,-76067344.868341,105793754.835102,147108999.154553,0.464163,-0.517082,0.719152,-48.087,45.985,44.015,-45.985,62.344,121.137,44.015,-112.042979,119295.972435,85853.444581,146977.398056
1 Jan 2027 00:18:00.000,68281076.889791,-68736159.851614,110698753.084729,147109411.890912,0.464152,-0.467245,0.752493,-45.190,48.807,41.193,-48.807,62.345,117.856,41.193,-104.225679,124829.297025,77579.255109,146972.463686
1 Jan 2027 00:19:00.000,68279665.606375,-61089870.865737,115096528.738782,147109809.276704,0.464141,-0.415267,0.782385,-41.819,51.479,38.521,-51.479,62.345,114.536,38.521,-94.935025,129790.616662,68949.422698,146968.146469
1 Jan 2027 00:20:00.000,68278253.764257,-53163515.645584,118966921.947911,147110189.486163,0.464130,-0.361386,0.808693,-37.905,53.968,36.032,-53.968,62.346,111.185,36.032,-84.341297,134157.187386,60003.491986,146964.543654
1 Jan 2027 00:21:00.000,68276841.363440,-44993415.809340,122292189.512431,147110550.772216,0.464119,-0.305848,0.831294,-33.384,56.232,33.768,-56.232,62.347,107.809,33.768,-72.638190,137908.990705,50782.456672,146961.739576
1 Jan 2027 00:22:00.000,68275428.403922,-36617010.419224,125057086.223199,147110891.474483,0.464109,-0.248908,0.850087,-28.205,58.221,31.779,-58.221,62.347,104.413,31.779,-60.039315,141028.825391,41328.571667,146959.804137
1 Jan 2027 00:23:00.000,68274014.885708,-28072684.419290,127248934.755688,147111210.026892,0.464098,-0.190826,0.864985,-22.351,59.881,30.119,-59.881,62.348,101.001,30.119,-46.774356,143502.386365,31685.159468,146958.791540
1 Jan 2027 00:24:00.000,68272600.808800,-19399592.736501,128857683.796830,147111504.964852,0.464087,-0.131870,0.875918,-15.862,61.154,28.846,-61.154,62.349,97.578,28.846,-33.084969,145318.330298,21896.411627,146958.739303
