"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
21 Mar 2027 00:00:00.000,-64524590.987356,-130411554.065929,-31989320.809400,148976215.960210,-0.433120,-0.875385,-0.214728,-116.325,-12.400,102.400,12.400,115.666,151.091,102.400,-213.578497,-36007.953246,147191.743917,151532.266498
21 Mar 2027 00:01:00.000,-64531104.316127,-132274839.178712,-23089643.457567,148976602.656292,-0.433163,-0.887890,-0.154988,-116.006,-8.916,98.916,8.916,115.668,152.609,98.916,-213.897069,-25964.403718,149294.457053,151535.576414
21 Mar 2027 00:02:00.000,-64537617.315971,-133531542.247980,-14084480.256181,148977009.662677,-0.433205,-0.896323,-0.094541,-115.795,-5.425,95.425,5.425,115.671,153.679,95.425,-212.288215,-15802.269331,150712.540029,151538.861367
21 Mar 2027 00:03:00.000,-64544129.986918,-134175929.363708,-5015124.686462,148977435.244414,-0.433248,-0.900646,-0.033664,-115.689,-1.929,91.929,1.929,115.674,154.243,91.929,-208.780347,-5568.149594,151439.522630,151541.997128
21 Mar 2027 00:04:00.000,-64550642.329001,-134205074.347875,4076837.361964,148977877.581476,-0.433290,-0.900839,0.027365,-115.687,1.568,88.432,-1.568,115.677,154.269,88.432,-203.436327,4691.027976,151472.103631,151544.862362
21 Mar 2027 00:05:00.000,-64557154.342252,-133618872.040697,13149718.276938,148978334.777109,-0.433333,-0.896901,0.088266,-115.787,5.064,84.936,-5.064,115.679,153.754,84.936,-196.352424,14928.223071,150810.165789,151547.340801
21 Mar 2027 00:06:00.000,-64563666.026703,-132420038.651786,22161919.865220,148978804.866533,-0.433375,-0.888852,0.148759,-115.992,8.555,81.445,-8.555,115.682,152.729,81.445,-187.656667,25096.498301,149456.776234,151549.323338
21 Mar 2027 00:07:00.000,-64570177.382385,-130614099.175277,31072124.076891,148979285.825955,-0.433417,-0.876727,0.208567,-116.306,12.038,77.962,-12.038,115.685,151.250,77.962,-177.506634,35149.234441,147418.172255,151550.709999
21 Mar 2027 00:08:00.000,-64576688.409328,-128209361.927269,39839482.435197,148979775.581847,-0.433459,-0.860582,0.267415,-116.734,15.511,74.489,-15.511,115.687,149.382,74.489,-166.086693,45040.344199,144703.732556,151551.411759
21 Mar 2027 00:09:00.000,-64583199.107563,-125216880.323052,48423803.304620,148980272.020456,-0.433502,-0.840493,0.325035,-117.283,18.968,71.032,-18.968,115.690,147.192,71.032,-153.604742,54724.483539,141325.934112,151551.352174
21 Mar 2027 00:10:00.000,-64589709.477117,-121650402.069455,56785736.139760,148980772.997501,-0.433544,-0.816551,0.381162,-117.966,22.406,67.594,-22.406,115.693,144.741,67.594,-140.288507,64157.259584,137300.294813,151550.468802
21 Mar 2027 00:11:00.000,-64596219.518017,-117526306.006779,64886951.867531,148981276.347997,-0.433586,-0.788866,0.435538,-118.795,25.820,64.180,-25.820,115.695,142.080,64.180,-126.381442,73295.434142,132645.302176,151548.714371
