"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
1 Jan 2027 00:00:00.000,25386811.446324,-132942132.753098,-57626212.041639,147101601.522966,0.172580,-0.903744,-0.391744,-79.189,-23.063,113.063,23.063,80.062,154.655,113.063,-16706010.386034,-3190208.218479,-3.918649,17007886.743965
1 Jan 2027 00:01:00.000,-118591197.440720,-65225052.231875,-57626453.366652,147101963.537859,-0.806184,-0.443400,-0.391745,-151.189,-23.063,113.063,23.063,143.725,116.321,113.063,-8196431.539935,14902615.434679,-3.906084,17007922.765076
1 Jan 2027 00:02:00.000,-98679057.369769,92632100.552231,-57626706.616325,147102344.412143,-0.670819,0.629712,-0.391746,136.810,-23.063,113.063,23.063,132.130,50.971,113.063,11640495.404264,12400386.875632,-3.865996,17007960.722028
1 Jan 2027 00:03:00.000,57605721.970767,122474201.116709,-57626970.052877,147102742.396002,0.391602,0.832576,-0.391746,64.810,-23.063,113.063,23.063,66.946,33.636,113.063,15390572.577346,-7238947.145020,-3.798567,17008000.471160
1 Jan 2027 00:04:00.000,134281268.163480,-16940496.387248,-57627241.891699,147103155.661200,0.912837,-0.115161,-0.391747,-7.190,-23.063,113.063,23.063,24.100,96.613,113.063,-2128800.904482,-16874290.937434,-3.704107,17008041.860605
1 Jan 2027 00:05:00.000,25383162.227194,-132944454.215274,-57627520.309550,147103582.309462,0.172553,-0.903747,-0.391748,-79.191,-23.063,113.063,23.063,80.064,154.655,113.063,-16706299.561765,-3189749.389686,-3.583049,17008084.730987
1 Jan 2027 00:06:00.000,-118594512.932151,-65222469.930859,-57627803.452924,147104020.381174,-0.806195,-0.443377,-0.391749,-151.191,-23.063,113.063,23.063,143.726,116.320,113.063,-8196105.918617,14903029.792598,-3.435948,17008128.916146
1 Jan 2027 00:07:00.000,-98677780.823250,92635972.193273,-57628089.446567,147104467.864358,-0.670801,0.629729,-0.391749,136.809,-23.063,113.063,23.063,132.129,50.970,113.063,11640980.206192,12400224.633047,-3.263480,17008174.243903
1 Jan 2027 00:08:00.000,57609668.828791,122474301.689846,-57628376.402083,147104922.703894,0.391623,0.832564,-0.391750,64.809,-23.063,113.063,23.063,66.944,33.637,113.063,15390582.931696,-7239442.164455,-3.066435,17008220.536844
1 Jan 2027 00:09:00.000,134282649.336103,-16944055.186104,-57628662.426611,147105382.810938,0.912833,-0.115183,-0.391751,-7.192,-23.063,113.063,23.063,24.100,96.614,113.063,-2129248.027774,-16874462.066572,-2.845719,17008267.613133
1 Jan 2027 00:10:00.000,25380381.418349,-132946872.145091,-57628945.631513,147105846.072492,0.172531,-0.903750,-0.391752,-79.192,-23.064,113.064,23.064,80.065,154.655,113.064,-16706601.144359,-3189399.178071,-2.602343,17008315.287346
1 Jan 2027 00:11:00.000,-118597614.463957,-65220739.925360,-57629224.141051,147106310.361086,-0.806203,-0.443358,-0.391752,-151.192,-23.064,113.064,23.064,143.727,116.318,113.064,-8195887.031608,14903417.740100,-2.337425,17008363.371319
1 Jan 2027 00:12:00.000,-98677230.529961,92639344.647741,-57629496.100998,147106773.544528,-0.670786,0.629742,-0.391753,136.808,-23.064,113.064,23.064,132.128,50.969,113.064,11641402.879831,12400153.494853,-2.052181,17008411.675006
1 Jan 2027 00:13:00.000,57612894.598785,122474908.945054,-57629759.687158,147107233.495670,0.391639,0.832555,-0.391753,64.807,-23.064,113.064,23.064,66.943,33.638,113.064,15390657.043975,-7239847.206706,-1.747920,17008460.007352
1 Jan 2027 00:14:00.000,134284253.293372,-16946763.841941,-57630013.113739,147107688.102161,0.912830,-0.115200,-0.391754,-7.193,-23.064,113.064,23.064,24.101,96.615,113.064,-2129588.895208,-16874661.524019,-1.426040,17008508.177168
1 Jan 2027 00:15:00.000,25378470.149407,-132949202.582200,-57630254.641558,147108135.276122,0.172516,-0.903752,-0.391754,-79.193,-23.064,113.064,23.064,80.066,154.656,113.064,-16706892.273832,-3189157.812296,-1.088016,17008555.994003
1 Jan 2027 00:16:00.000,-118600333.247538,-65219787.410685,-57630482.586030,147108572.963715,-0.806210,-0.443345,-0.391755,-151.193,-23.064,113.064,23.064,143.727,116.317,113.064,-8195765.647537,14903758.271439,-0.735403,17008603.269017
1 Jan 2027 00:17:00.000,-98677267.665259,92642093.212218,-57630695.324903,147108999.154553,-0.670777,0.629751,-0.391755,136.807,-23.064,113.064,23.064,132.127,50.968,113.064,11641747.882049,12400156.241309,-0.369817,17008649.815846
1 Jan 2027 00:18:00.000,57615340.809091,122475842.261450,-57630891.305711,147109411.890912,0.391650,0.832549,-0.391755,64.807,-23.064,113.064,23.064,66.943,33.638,113.064,15390772.466225,-7240154.960576,0.007062,17008695.451452
