"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
21 Mar 2027 00:00:00.000,-63282685.856979,-134867165.550029,-249497.596996,148976215.960210,-0.424784,-0.905293,-0.001675,-115.137,-0.096,90.096,0.096,115.137,154.863,90.096,-16947928.977646,7952338.788816,12.775771,18720897.116420
21 Mar 2027 00:01:00.000,-147821939.587718,18510547.143405,-248917.632115,148976602.656292,-0.992249,0.124251,-0.001671,172.862,-0.096,90.096,0.096,172.862,82.862,90.096,2326099.150251,18575873.162245,13.175500,18720945.515566
21 Mar 2027 00:02:00.000,-28073682.945752,146307744.414287,-248310.890784,148977009.662677,-0.188443,0.982083,-0.001667,100.862,-0.095,90.095,0.095,100.862,10.862,90.095,18385590.964172,3527853.915800,13.569308,18720996.457274
21 Mar 2027 00:03:00.000,130472699.022096,71910289.097280,-247676.884120,148977435.244414,0.875788,0.482692,-0.001663,28.861,-0.095,90.095,0.095,28.862,61.139,90.095,9036529.067690,-16395695.935774,13.955386,18721049.725102
21 Mar 2027 00:04:00.000,108708462.186587,-101866664.032821,-247015.248457,148977877.581476,0.729695,-0.683770,-0.001658,-43.139,-0.095,90.095,0.095,43.139,133.139,90.095,-12800949.848136,-13660726.878510,14.331961,18721105.091952
21 Mar 2027 00:05:00.000,-63289552.634516,-134866289.649821,-246325.747016,148978334.777109,-0.424824,-0.905275,-0.001653,-115.140,-0.095,90.095,0.095,115.140,154.860,90.095,-16947817.425154,7953200.813304,14.697303,18721162.321109
21 Mar 2027 00:06:00.000,-147823320.764699,18517284.199762,-245608.270989,148978804.866533,-0.992244,0.124295,-0.001649,172.860,-0.094,90.094,0.094,172.859,82.860,90.094,2326945.523984,18576044.964527,15.049734,18721221.167326
21 Mar 2027 00:07:00.000,-28067797.557162,146311197.068752,-244862.840044,148979285.825955,-0.188401,0.982091,-0.001644,100.859,-0.094,90.094,0.094,100.859,10.860,90.094,18386023.070559,3527113.845787,15.387637,18721281.377953
21 Mar 2027 00:08:00.000,130477814.455531,71905868.241692,-244089.602235,148979775.581847,0.875809,0.482655,-0.001638,28.859,-0.094,90.094,0.094,28.859,61.141,90.094,9035972.356179,-16396337.269276,15.709458,18721342.694094
21 Mar 2027 00:09:00.000,108705943.853390,-101872862.101624,-243288.833323,148980272.020456,0.729667,-0.683801,-0.001633,-43.141,-0.094,90.094,0.094,43.142,133.141,90.094,-12801727.754242,-13660408.710237,16.013720,18721404.851792
21 Mar 2027 00:10:00.000,-63296151.563227,-134865893.141716,-242460.935511,148980772.997501,-0.424861,-0.905257,-0.001627,-115.142,-0.093,90.093,0.093,115.142,154.858,90.093,-16947765.589840,7954029.795142,16.299026,18721467.583244
21 Mar 2027 00:11:00.000,-147825029.426999,18523579.662563,-241606.435599,148981276.347997,-0.992239,0.124335,-0.001622,172.858,-0.093,90.093,0.093,172.857,82.858,90.093,2327737.152097,18576257.654116,16.564064,18721530.618024
21 Mar 2027 00:12:00.000,-28062453.684586,146314768.513769,-240725.982566,148981779.896188,-0.188362,0.982098,-0.001616,100.857,-0.093,90.093,0.093,100.857,10.858,90.093,18386470.123294,3526441.050988,16.807619,18721593.684330
21 Mar 2027 00:13:00.000,130482816.036241,71901998.554462,-239820.344592,148982281.465519,0.875828,0.482621,-0.001610,28.857,-0.092,90.092,0.092,28.857,61.143,90.092,9035484.210013,-16396964.584248,17.028571,18721656.510223
21 Mar 2027 00:14:00.000,108703893.370848,-101878726.448494,-238890.405528,148982778.888614,0.729641,-0.683829,-0.001603,-43.144,-0.092,90.092,0.092,43.144,133.144,90.092,-12802464.230956,-13660148.804925,17.225905,18721718.824881
21 Mar 2027 00:15:00.000,-63302244.744368,-134865799.746468,-237937.160845,148983270.017216,-0.424895,-0.905241,-0.001597,-115.144,-0.092,90.092,0.092,115.144,154.856,90.092,-16947751.547794,7954795.868897,17.398715,18721780.359834
21 Mar 2027 00:16:00.000,-147826819.133802,18529273.381505,-236961.713060,148983752.732027,-0.992234,0.124371,-0.001591,172.856,-0.091,90.091,0.091,172.855,82.856,90.091,2328453.850681,18576480.492418,17.546207,18721840.850201
21 Mar 2027 00:17:00.000,-28057714.392620,146318174.770365,-235965.266672,148984224.952429,-0.188327,0.982105,-0.001584,100.855,-0.091,90.091,0.091,100.855,10.856,90.091,18386896.634904,3525843.599947,17.667704,18721900.035900
21 Mar 2027 00:18:00.000,130487419.473104,71898639.884442,-234949.122637,148984684.646015,0.875845,0.482591,-0.001577,28.855,-0.090,90.090,0.090,28.855,61.145,90.090,9035059.795687,-16397542.291984,17.762647,18721957.662845
21 Mar 2027 00:19:00.000,108702175.164617,-101884009.104596,-233914.672391,148985129.837908,0.729618,-0.683854,-0.001570,-43.146,-0.090,90.090,0.090,43.146,133.146,90.090,-12803128.169564,-13659930.379488,17.830601,18722013.484107
21 Mar 2027 00:20:00.000,-63307651.604435,-134865798.852894,-232863.391459,148985558.619810,-0.424925,-0.905227,-0.001563,-115.146,-0.090,90.090,0.090,115.146,154.854,90.090,-16947749.094623,7955476.299537,17.871253,18722067.261045
21 Mar 2027 00:21:00.000,-147828434.280080,18534273.514197,-231796.832685,148985969.158745,-0.992231,0.124403,-0.001556,172.854,-0.089,90.089,0.089,172.853,82.854,90.089,2329083.941582,18576681.593367,17.884417,18722118.764408
21 Mar 2027 00:22:00.000,-28053574.121847,146321150.648557,-230716.619094,148986359.705464,-0.188296,0.982111,-0.001549,100.853,-0.089,90.089,0.089,100.853,10.854,90.089,18387269.454464,3525321.009195,17.870031,18722167.775374
