"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Jan 2027 00:22:59.223,1 Jan 2027 01:24:26.020,3686.797,1 Jan 2027 00:22:49.497,1 Jan 2027 00:22:59.223,9.726,1 Jan 2027 00:00:00.000,1 Jan 2027 00:22:49.497,1369.497
1 Jan 2027 01:58:45.453,1 Jan 2027 03:00:12.302,3686.850,1 Jan 2027 01:24:26.020,1 Jan 2027 01:24:35.635,9.616,1 Jan 2027 01:24:35.635,1 Jan 2027 01:58:35.726,2040.090
1 Jan 2027 03:34:31.687,1 Jan 2027 04:35:58.587,3686.900,1 Jan 2027 01:58:35.726,1 Jan 2027 01:58:45.453,9.727,1 Jan 2027 03:00:21.919,1 Jan 2027 03:34:21.956,2040.038
1 Jan 2027 05:10:17.916,1 Jan 2027 06:11:44.870,3686.953,1 Jan 2027 03:00:12.302,1 Jan 2027 03:00:21.919,9.616,1 Jan 2027 04:36:08.204,1 Jan 2027 05:10:08.190,2039.986
1 Jan 2027 06:46:04.147,1 Jan 2027 07:47:31.152,3687.005,1 Jan 2027 03:34:21.956,1 Jan 2027 03:34:31.687,9.730,1 Jan 2027 06:11:54.487,1 Jan 2027 06:45:54.418,2039.931
1 Jan 2027 08:21:50.377,1 Jan 2027 09:23:17.432,3687.055,1 Jan 2027 04:35:58.587,1 Jan 2027 04:36:08.204,9.617,1 Jan 2027 07:47:40.770,1 Jan 2027 08:21:40.649,2039.879
1 Jan 2027 09:57:36.605,1 Jan 2027 10:59:03.713,3687.108,1 Jan 2027 05:10:08.190,1 Jan 2027 05:10:17.916,9.727,1 Jan 2027 09:23:27.051,1 Jan 2027 09:57:26.875,2039.823
1 Jan 2027 11:33:22.836,1 Jan 2027 12:34:49.993,3687.157,1 Jan 2027 06:11:44.870,1 Jan 2027 06:11:54.487,9.618,1 Jan 2027 10:59:13.333,1 Jan 2027 11:33:13.103,2039.770
1 Jan 2027 13:09:09.062,1 Jan 2027 14:10:36.273,3687.211,1 Jan 2027 06:45:54.418,1 Jan 2027 06:46:04.147,9.729,1 Jan 2027 12:34:59.614,1 Jan 2027 13:08:59.330,2039.717
1 Jan 2027 14:44:55.292,1 Jan 2027 15:46:22.552,3687.260,1 Jan 2027 07:47:31.152,1 Jan 2027 07:47:40.770,9.618,1 Jan 2027 14:10:45.894,1 Jan 2027 14:44:45.559,2039.665
1 Jan 2027 16:20:41.519,1 Jan 2027 17:22:08.831,3687.312,1 Jan 2027 08:21:40.649,1 Jan 2027 08:21:50.377,9.728,1 Jan 2027 15:46:32.174,1 Jan 2027 16:20:31.783,2039.609
1 Jan 2027 17:56:27.745,1 Jan 2027 18:57:55.111,3687.365,1 Jan 2027 09:23:17.432,1 Jan 2027 09:23:27.051,9.619,1 Jan 2027 17:22:18.453,1 Jan 2027 17:56:18.012,2039.558
1 Jan 2027 19:32:13.969,1 Jan 2027 20:33:41.387,3687.418,1 Jan 2027 09:57:26.875,1 Jan 2027 09:57:36.605,9.730,1 Jan 2027 18:58:04.734,1 Jan 2027 19:32:04.235,2039.501
1 Jan 2027 21:08:00.195,1 Jan 2027 22:09:27.664,3687.469,1 Jan 2027 10:59:03.713,1 Jan 2027 10:59:13.333,9.620,1 Jan 2027 20:33:51.011,1 Jan 2027 21:07:50.459,2039.448
1 Jan 2027 22:43:46.420,1 Jan 2027 23:45:13.941,3687.521,1 Jan 2027 11:33:13.103,1 Jan 2027 11:33:22.836,9.734,1 Jan 2027 22:09:37.288,1 Jan 2027 22:43:36.684,2039.396
2 Jan 2027 00:19:32.643,2 Jan 2027 01:21:00.215,3687.573,1 Jan 2027 12:34:49.993,1 Jan 2027 12:34:59.614,9.621,1 Jan 2027 23:45:23.565,2 Jan 2027 00:19:22.906,2039.341
2 Jan 2027 01:55:18.865,2 Jan 2027 02:56:46.490,3687.625,1 Jan 2027 13:08:59.330,1 Jan 2027 13:09:09.062,9.731,2 Jan 2027 01:21:09.843,2 Jan 2027 01:55:09.128,2039.285
2 Jan 2027 03:31:05.089,2 Jan 2027 04:32:32.765,3687.676,1 Jan 2027 14:10:36.273,1 Jan 2027 14:10:45.894,9.621,2 Jan 2027 02:56:56.117,2 Jan 2027 03:30:55.353,2039.236
2 Jan 2027 05:06:51.311,2 Jan 2027 06:08:19.038,3687.727,1 Jan 2027 14:44:45.559,1 Jan 2027 14:44:55.292,9.733,2 Jan 2027 04:32:42.392,2 Jan 2027 05:06:41.574,2039.182
2 Jan 2027 06:42:37.533,2 Jan 2027 07:44:05.311,3687.779,1 Jan 2027 15:46:22.552,1 Jan 2027 15:46:32.174,9.622,2 Jan 2027 06:08:28.668,2 Jan 2027 06:42:27.795,2039.127
2 Jan 2027 08:18:23.754,2 Jan 2027 09:19:51.585,3687.832,1 Jan 2027 16:20:31.783,1 Jan 2027 16:20:41.519,9.736,2 Jan 2027 07:44:14.942,2 Jan 2027 08:18:14.014,2039.072
2 Jan 2027 09:54:09.975,2 Jan 2027 10:55:37.857,3687.882,1 Jan 2027 17:22:08.831,1 Jan 2027 17:22:18.453,9.623,2 Jan 2027 09:20:01.215,2 Jan 2027 09:54:00.235,2039.020
2 Jan 2027 11:29:56.196,2 Jan 2027 12:31:24.127,3687.932,1 Jan 2027 17:56:18.012,1 Jan 2027 17:56:27.745,9.734,2 Jan 2027 10:55:47.487,2 Jan 2027 11:29:46.452,2038.964
2 Jan 2027 13:05:42.413,2 Jan 2027 14:07:10.398,3687.985,1 Jan 2027 18:57:55.111,1 Jan 2027 18:58:04.734,9.623,2 Jan 2027 12:31:33.758,2 Jan 2027 13:05:32.670,2038.911
2 Jan 2027 14:41:28.631,2 Jan 2027 15:42:56.669,3688.038,1 Jan 2027 19:32:04.235,1 Jan 2027 19:32:13.969,9.734,2 Jan 2027 14:07:20.030,2 Jan 2027 14:41:18.890,2038.861
2 Jan 2027 16:17:14.851,2 Jan 2027 17:18:42.939,3688.088,1 Jan 2027 20:33:41.387,1 Jan 2027 20:33:51.011,9.624,2 Jan 2027 15:43:06.302,2 Jan 2027 16:17:05.107,2038.806
2 Jan 2027 17:53:01.066,2 Jan 2027 18:54:29.207,3688.141,1 Jan 2027 21:07:50.459,1 Jan 2027 21:08:00.195,9.735,2 Jan 2027 17:18:52.572,2 Jan 2027 17:52:51.322,2038.751
2 Jan 2027 19:28:47.283,2 Jan 2027 20:30:15.475,3688.192,1 Jan 2027 22:09:27.664,1 Jan 2027 22:09:37.288,9.625,2 Jan 2027 18:54:38.840,2 Jan 2027 19:28:37.538,2038.698
2 Jan 2027 21:04:33.498,2 Jan 2027 22:06:01.743,3688.244,1 Jan 2027 22:43:36.684,1 Jan 2027 22:43:46.420,9.736,2 Jan 2027 20:30:25.109,2 Jan 2027 21:04:23.753,2038.643
2 Jan 2027 22:40:19.715,2 Jan 2027 23:41:48.010,3688.295,1 Jan 2027 23:45:13.941,1 Jan 2027 23:45:23.565,9.624,2 Jan 2027 22:06:11.378,2 Jan 2027 22:40:09.969,2038.591
3 Jan 2027 00:16:05.931,3 Jan 2027 01:17:34.276,3688.345,2 Jan 2027 00:19:22.906,2 Jan 2027 00:19:32.643,9.736,2 Jan 2027 23:41:57.646,3 Jan 2027 00:15:56.184,2038.539
3 Jan 2027 01:51:52.146,3 Jan 2027 02:53:20.542,3688.397,2 Jan 2027 01:21:00.215,2 Jan 2027 01:21:09.843,9.627,3 Jan 2027 01:17:43.913,3 Jan 2027 01:51:42.398,2038.485
3 Jan 2027 03:27:38.358,3 Jan 2027 04:29:06.808,3688.450,2 Jan 2027 01:55:09.128,2 Jan 2027 01:55:18.865,9.737,3 Jan 2027 02:53:30.179,3 Jan 2027 03:27:28.610,2038.430
3 Jan 2027 05:03:24.571,3 Jan 2027 06:04:53.072,3688.501,2 Jan 2027 02:56:46.490,2 Jan 2027 02:56:56.117,9.627,3 Jan 2027 04:29:16.446,3 Jan 2027 05:03:14.822,2038.377
3 Jan 2027 06:39:10.784,3 Jan 2027 07:40:39.338,3688.554,2 Jan 2027 03:30:55.353,2 Jan 2027 03:31:05.089,9.736,3 Jan 2027 06:05:02.712,3 Jan 2027 06:39:01.036,2038.324
3 Jan 2027 08:14:56.996,3 Jan 2027 09:16:25.601,3688.606,2 Jan 2027 04:32:32.765,2 Jan 2027 04:32:42.392,9.628,3 Jan 2027 07:40:48.977,3 Jan 2027 08:14:47.245,2038.268
3 Jan 2027 09:50:43.206,3 Jan 2027 10:52:11.864,3688.658,2 Jan 2027 05:06:41.574,2 Jan 2027 05:06:51.311,9.737,3 Jan 2027 09:16:35.241,3 Jan 2027 09:50:33.456,2038.215
