"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
21 Mar 2027 00:33:53.579,21 Mar 2027 01:35:20.506,3686.926,21 Mar 2027 00:33:44.066,21 Mar 2027 00:33:53.579,9.513,21 Mar 2027 00:00:00.000,21 Mar 2027 00:33:44.066,2024.066
21 Mar 2027 02:09:39.513,21 Mar 2027 03:11:06.381,3686.868,21 Mar 2027 01:35:20.506,21 Mar 2027 01:35:30.040,9.534,21 Mar 2027 01:35:30.040,21 Mar 2027 02:09:30.005,2039.965
21 Mar 2027 03:45:25.447,21 Mar 2027 04:46:52.256,3686.808,21 Mar 2027 02:09:30.005,21 Mar 2027 02:09:39.513,9.508,21 Mar 2027 03:11:15.914,21 Mar 2027 03:45:15.940,2040.026
21 Mar 2027 05:21:11.385,21 Mar 2027 06:22:38.131,3686.746,21 Mar 2027 03:11:06.381,21 Mar 2027 03:11:15.914,9.533,21 Mar 2027 04:47:01.788,21 Mar 2027 05:21:01.873,2040.085
21 Mar 2027 06:56:57.317,21 Mar 2027 07:58:24.006,3686.689,21 Mar 2027 03:45:15.940,21 Mar 2027 03:45:25.447,9.507,21 Mar 2027 06:22:47.662,21 Mar 2027 06:56:47.809,2040.147
21 Mar 2027 08:32:43.255,21 Mar 2027 09:34:09.882,3686.627,21 Mar 2027 04:46:52.256,21 Mar 2027 04:47:01.788,9.532,21 Mar 2027 07:58:33.537,21 Mar 2027 08:32:33.745,2040.208
21 Mar 2027 10:08:29.188,21 Mar 2027 11:09:55.757,3686.569,21 Mar 2027 05:21:01.873,21 Mar 2027 05:21:11.385,9.512,21 Mar 2027 09:34:19.411,21 Mar 2027 10:08:19.684,2040.273
21 Mar 2027 11:44:15.122,21 Mar 2027 12:45:41.632,3686.510,21 Mar 2027 06:22:38.131,21 Mar 2027 06:22:47.662,9.531,21 Mar 2027 11:10:05.286,21 Mar 2027 11:44:05.620,2040.335
21 Mar 2027 13:20:01.060,21 Mar 2027 14:21:27.508,3686.448,21 Mar 2027 06:56:47.809,21 Mar 2027 06:56:57.317,9.508,21 Mar 2027 12:45:51.160,21 Mar 2027 13:19:51.555,2040.395
21 Mar 2027 14:55:46.996,21 Mar 2027 15:57:13.383,3686.388,21 Mar 2027 07:58:24.006,21 Mar 2027 07:58:33.537,9.530,21 Mar 2027 14:21:37.035,21 Mar 2027 14:55:37.490,2040.455
21 Mar 2027 16:31:32.928,21 Mar 2027 17:32:59.259,3686.331,21 Mar 2027 08:32:33.745,21 Mar 2027 08:32:43.255,9.510,21 Mar 2027 15:57:22.909,21 Mar 2027 16:31:23.426,2040.517
21 Mar 2027 18:07:18.866,21 Mar 2027 19:08:45.135,3686.269,21 Mar 2027 09:34:09.882,21 Mar 2027 09:34:19.411,9.530,21 Mar 2027 17:33:08.784,21 Mar 2027 18:07:09.365,2040.581
21 Mar 2027 19:43:04.803,21 Mar 2027 20:44:31.011,3686.207,21 Mar 2027 10:08:19.684,21 Mar 2027 10:08:29.188,9.504,21 Mar 2027 19:08:54.659,21 Mar 2027 19:42:55.302,2040.643
21 Mar 2027 21:18:50.735,21 Mar 2027 22:20:16.887,3686.152,21 Mar 2027 11:09:55.757,21 Mar 2027 11:10:05.286,9.529,21 Mar 2027 20:44:40.534,21 Mar 2027 21:18:41.236,2040.702
21 Mar 2027 22:54:36.671,21 Mar 2027 23:56:02.763,3686.092,21 Mar 2027 11:44:05.620,21 Mar 2027 11:44:15.122,9.502,21 Mar 2027 22:20:26.409,21 Mar 2027 22:54:27.176,2040.767
22 Mar 2027 00:30:22.607,22 Mar 2027 01:31:48.639,3686.032,21 Mar 2027 12:45:41.632,21 Mar 2027 12:45:51.160,9.528,21 Mar 2027 23:56:12.284,22 Mar 2027 00:30:13.110,2040.826
22 Mar 2027 02:06:08.546,22 Mar 2027 03:07:34.515,3685.969,21 Mar 2027 13:19:51.555,21 Mar 2027 13:20:01.060,9.506,22 Mar 2027 01:31:58.159,22 Mar 2027 02:05:59.050,2040.891
22 Mar 2027 03:41:54.482,22 Mar 2027 04:43:20.391,3685.909,21 Mar 2027 14:21:27.508,21 Mar 2027 14:21:37.035,9.527,22 Mar 2027 03:07:44.035,22 Mar 2027 03:41:44.987,2040.953
22 Mar 2027 05:17:40.418,22 Mar 2027 06:19:06.267,3685.849,21 Mar 2027 14:55:37.490,21 Mar 2027 14:55:46.996,9.506,22 Mar 2027 04:43:29.910,22 Mar 2027 05:17:30.925,2041.015
