"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
1 Jan 2027 00:00:00.000,60690060.323737,-49976042.733794,124340906.246640,147110670.026564,0.412547,-0.339717,0.845220,-39.470,57.696,32.304,-57.696,65.635,109.860,32.304,27.556714,136129.645332,54703.837173,146709.886848
1 Jan 2027 00:01:00.000,60690241.557111,-41717244.953256,127349983.003971,147111019.702339,0.412547,-0.283577,0.865673,-34.504,59.960,30.040,-59.960,65.635,106.474,30.040,28.636913,139424.883927,45661.549420,146711.540697
1 Jan 2027 00:02:00.000,60690422.792057,-33278946.782007,129811143.693007,147111348.115925,0.412548,-0.226216,0.882401,-28.738,61.933,28.067,-61.933,65.635,103.074,28.067,29.276421,142120.222253,36422.789753,146713.251085
1 Jan 2027 00:03:00.000,60690604.028623,-24697455.468919,131713799.483974,147111653.850070,0.412548,-0.167882,0.895332,-22.143,63.551,26.449,-63.551,65.635,99.665,26.449,29.464246,144204.063959,27027.309548,146714.990345
1 Jan 2027 00:04:00.000,60690785.266842,-16009694.327687,133049764.610173,147111935.585100,0.412548,-0.108827,0.904412,-14.777,64.744,25.256,-64.744,65.635,96.248,25.256,29.197157,145667.443763,17515.534441,146716.730374
1 Jan 2027 00:05:00.000,60690966.506741,-7253043.868048,133813291.585494,147112192.104593,0.412549,-0.049303,0.909600,-6.815,65.450,24.550,-65.450,65.635,92.826,24.550,28.479745,146504.066024,7928.390398,146718.443104
1 Jan 2027 00:06:00.000,60691147.748333,1534819.039967,134001095.930811,147112422.300613,0.412549,0.010433,0.910875,1.449,65.627,24.373,-65.627,65.635,89.402,24.373,27.324344,146710.331825,-1692.872382,146720.100967
1 Jan 2027 00:07:00.000,60691328.991621,10316083.276707,133612370.302911,147112625.178478,0.412550,0.070124,0.908232,9.647,65.262,24.738,-65.262,65.635,85.979,24.738,25.750818,146285.354456,-11306.856947,146721.677353
1 Jan 2027 00:08:00.000,60691510.236599,19052966.161010,132648787.965144,147112799.861037,0.412551,0.129513,0.901681,17.429,64.380,25.620,-64.380,65.635,82.559,25.620,23.786217,145230.963224,-20872.197715,146723.147057
1 Jan 2027 00:09:00.000,60691691.483247,27707876.015749,131114495.584906,147112945.592446,0.412552,0.188344,0.891251,24.538,63.031,26.969,-63.031,65.635,79.144,26.969,21.464316,143551.695583,-30347.738451,146724.486691
1 Jan 2027 00:10:00.000,60691872.731538,36243573.911359,129016095.388932,147113061.741421,0.412553,0.246365,0.876986,30.845,61.281,28.719,-61.281,65.635,75.737,28.719,18.825033,141254.777603,-39692.709348,146725.675072
1 Jan 2027 00:11:00.000,60692053.981432,44623333.891407,126362616.753209,147113147.803952,0.412554,0.303327,0.858948,36.325,59.199,30.801,-59.199,65.635,72.342,30.801,15.913741,138350.092875,-48866.902445,146726.693571
1 Jan 2027 00:12:00.000,60692235.232880,52811100.990829,123165477.349755,147113203.405472,0.412555,0.358983,0.837216,41.028,56.847,33.153,-56.847,65.635,68.962,33.153,12.780490,134850.139988,-57830.844630,146727.526418
1 Jan 2027 00:13:00.000,60692416.485822,60771646.366935,119438434.017445,147113228.302474,0.412556,0.413094,0.811881,45.037,54.280,35.720,-54.280,65.635,65.601,35.720,9.479148,130769.978743,-66545.967472,146728.160955
1 Jan 2027 00:14:00.000,60692597.740188,68470718.875695,115197523.568288,147113222.383554,0.412557,0.465429,0.783053,48.446,51.541,38.459,-51.541,65.634,62.262,38.459,6.066468,126127.165355,-74974.773173,146728.587840
1 Jan 2027 00:15:00.000,60692778.995900,75875192.441166,110460993.783849,147113185.669894,0.412558,0.515761,0.750857,51.344,48.665,41.335,-48.665,65.634,58.952,41.335,2.601121,120941.676911,-83080.995900,146728.801196
1 Jan 2027 00:16:00.000,60692960.252869,82953208.583941,105249224.898743,147113118.315171,0.412560,0.563874,0.715431,53.809,45.678,44.322,-45.678,65.634,55.676,44.322,-0.857318,115235.825414,-90829.757828,146728.798696
1 Jan 2027 00:17:00.000,60693141.510998,89674313.495423,99584641.909018,147113020.604897,0.412561,0.609561,0.676926,55.909,42.604,47.396,-42.604,65.634,52.442,47.396,-4.249393,109034.161780,-98187.719203,146728.581590
1 Jan 2027 00:18:00.000,60693322.770181,96009589.068107,93491618.082765,147112892.955192,0.412563,0.652625,0.635509,57.701,39.458,50.542,-39.458,65.634,49.260,50.542,-7.516787,102363.370196,-105123.221789,146728.154673
1 Jan 2027 00:19:00.000,60693504.030305,101931777.318135,86996370.088114,147112735.910997,0.412565,0.692882,0.591359,59.229,36.253,53.747,-36.253,65.634,46.141,53.747,-10.603330,95252.153312,-111606.425081,146727.526191
1 Jan 2027 00:20:00.000,60693685.291249,107415397.664752,80126845.189858,147112550.143723,0.412566,0.730158,0.544664,60.532,33.002,56.998,-33.002,65.634,43.100,56.998,-13.455959,87731.108736,-117609.434693,146726.707692
1 Jan 2027 00:21:00.000,60693866.552885,112436856.562095,72912601.000069,147112336.448375,0.412568,0.764293,0.495625,61.640,29.711,60.289,-29.711,65.634,40.156,60.289,-16.025631,79832.597383,-123106.422383,146725.713813
1 Jan 2027 00:22:00.000,60694047.815077,116974549.011584,65384678.300104,147112095.740121,0.412570,0.795139,0.444455,62.577,26.388,63.612,-26.388,65.634,37.332,63.612,-18.268171,71590.604236,-128073.737171,146724.562026
1 Jan 2027 00:23:00.000,60694229.077687,121008951.518178,57575467.481208,147111829.050363,0.412572,0.822564,0.391372,63.363,23.040,66.960,-23.040,65.633,34.658,66.960,-20.145025,63040.592115,-132490.007104,146723.272327
1 Jan 2027 00:24:00.000,60694410.340568,124522706.090537,49518569.178391,147111537.522298,0.412574,0.846451,0.336606,64.015,19.670,70.330,-19.670,65.633,32.172,70.330,-21.623928,54219.349094,-136336.231208,146721.866890
1 Jan 2027 00:25:00.000,60694591.603570,127500694.923674,41248649.697221,147111222.406002,0.412576,0.866696,0.280391,64.544,16.284,73.716,-16.284,65.633,29.923,73.716,-22.679454,45164.830215,-139595.861238,146720.369674
1 Jan 2027 00:26:00.000,60694772.866539,129930105.442789,32801291.855590,147110885.053046,0.412578,0.883212,0.222970,64.961,12.884,77.116,-12.884,65.633,27.968,77.116,-23.293459,35915.994174,-142254.872878,146718.806012
1 Jan 2027 00:27:00.000,60694954.129318,131800485.428419,24212841.882235,147110526.910691,0.412581,0.895928,0.164589,65.274,9.473,80.527,-9.473,65.633,26.372,80.527,-23.455387,26512.635700,-144301.826078,146717.202166
1 Jan 2027 00:28:00.000,60695135.391747,133103787.985754,15520253.030754,147110149.515653,0.412583,0.904790,0.105501,65.487,6.056,83.944,-6.056,65.633,25.205,83.944,-23.162454,16995.214326,-145727.914277,146715.584878
