"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
21 Mar 2027 00:00:00.000,60856226.923264,-121037495.570108,61981699.624436,148980826.879010,0.408484,-0.812437,0.416038,-63.307,24.585,65.415,-24.585,65.890,144.335,65.415,-20.412594,67845.453649,132524.202772,148881.396816
21 Mar 2027 00:01:00.000,60856022.872315,-116713896.551112,69784288.374742,148981327.930545,0.408481,-0.783413,0.468410,-62.462,27.931,62.069,-27.931,65.891,141.574,62.069,-17.546061,76389.179012,127789.553065,148880.747078
21 Mar 2027 00:02:00.000,60855818.820449,-111888031.981036,77286626.320282,148981827.726966,0.408478,-0.751018,0.518765,-61.458,31.249,58.751,-31.249,65.891,138.679,58.751,-14.436628,84604.203019,122504.974929,148880.288350
21 Mar 2027 00:03:00.000,60855614.767782,-106580667.541210,84456428.968717,148982324.241645,0.408475,-0.715391,0.566889,-60.274,34.534,55.466,-34.534,65.891,135.675,55.466,-11.137756,92455.174306,116693.207886,148880.032733
21 Mar 2027 00:04:00.000,60855410.714426,-100814640.933589,91262842.730306,148982815.462074,0.408473,-0.676686,0.612573,-58.883,37.776,52.224,-37.776,65.891,132.585,52.224,-7.706163,99908.308031,110379.260094,148879.989024
21 Mar 2027 00:05:00.000,60855206.660489,-94614763.609903,97676577.688940,148983299.398531,0.408470,-0.635070,0.655621,-57.251,40.967,49.033,-40.967,65.891,129.425,49.033,-4.200848,106931.531261,103590.300730,148880.162550
21 Mar 2027 00:06:00.000,60855002.606069,-88007714.006389,103670033.645551,148983774.092633,0.408467,-0.590720,0.695848,-55.337,44.095,45.905,-44.095,65.891,126.208,45.905,-0.682079,113494.620988,96355.543085,148880.555067
21 Mar 2027 00:07:00.000,60854798.551261,-81021922.745594,109217418.889226,148984237.625771,0.408465,-0.543829,0.733080,-53.090,47.145,42.855,-47.145,65.892,122.945,42.855,2.789646,119569.334190,88706.118855,148881.164721
21 Mar 2027 00:08:00.000,60854594.496151,-73687450.296582,114294861.187645,148984688.127355,0.408462,-0.494597,0.767158,-50.448,50.099,39.901,-50.099,65.892,119.643,39.901,6.154635,125129.529368,80674.944179,148881.986069
21 Mar 2027 00:09:00.000,60854390.440818,-66035857.622887,118880510.516581,148985123.782869,0.408460,-0.443238,0.797935,-47.338,52.933,37.067,-52.933,65.892,116.311,37.067,9.355034,130151.279042,72296.577997,148883.010159
21 Mar 2027 00:10:00.000,60854186.385335,-58100070.371748,122954633.088818,148985542.841677,0.408457,-0.389971,0.825279,-43.674,55.617,34.383,-55.617,65.892,112.953,34.383,12.335817,134612.972720,63607.073344,148884.224672
21 Mar 2027 00:11:00.000,60853982.329765,-49914237.192257,126499696.275612,148985943.624552,0.408455,-0.335026,0.849071,-39.360,58.111,31.889,-58.111,65.892,109.574,31.889,15.045734,138495.409896,54643.822205,148885.614126
21 Mar 2027 00:12:00.000,60853778.274164,-41513582.788738,129500444.057269,148986324.530906,0.408452,-0.278640,0.869210,-34.301,60.367,29.633,-60.367,65.892,106.179,29.633,17.438192,141781.882676,45445.394613,148887.160128
