"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
1 Jan 2027 00:00:00.000,25392576.555366,-132951381.466241,-57625484.447097,147110670.026564,0.172609,-0.903751,-0.391715,-79.187,-23.061,113.061,23.061,80.060,154.656,113.061,-16707173.570328,-3190927.709753,-5.429424,17009164.246310
1 Jan 2027 00:01:00.000,-118598096.829555,-65233494.010837,-57625817.177786,147111019.702339,-0.806181,-0.443430,-0.391717,-151.188,-23.061,113.061,23.061,143.724,116.323,113.061,-8197487.603070,14903485.421317,-5.413414,17009194.005182
1 Jan 2027 00:02:00.000,-98689232.652649,92635896.642302,-57626163.816385,147111348.115925,-0.670847,0.629699,-0.391718,136.812,-23.061,113.061,23.061,132.132,50.972,113.061,11640977.336911,12401661.803418,-5.365135,17009220.112776
1 Jan 2027 00:03:00.000,57606033.487908,122484968.580154,-57626522.333135,147111653.850070,0.391580,0.832599,-0.391720,64.812,-23.062,113.062,23.062,66.947,33.633,113.062,15391923.688049,-7238992.685017,-5.284794,17009242.484969
1 Jan 2027 00:04:00.000,134291432.851621,-16937358.961727,-57626890.647117,147111935.585100,0.912852,-0.115132,-0.391721,-7.188,-23.062,113.062,23.062,24.097,96.611,113.062,-2128413.830212,-16875568.617404,-5.172736,17009261.053714
1 Jan 2027 00:05:00.000,25389306.662017,-132952917.655822,-57627266.635203,147112192.104593,0.172585,-0.903752,-0.391723,-79.189,-23.062,113.062,23.062,80.062,154.656,113.062,-16707366.034630,-3190514.427780,-5.029443,17009275.767328
1 Jan 2027 00:06:00.000,-118600408.595104,-65230836.618452,-57627648.141193,147112422.300613,-0.806189,-0.443408,-0.391725,-151.189,-23.062,113.062,23.062,143.725,116.322,113.062,-8197151.256994,14903776.085113,-4.855530,17009286.590720
1 Jan 2027 00:07:00.000,-98687349.358424,92638768.222492,-57628032.985093,147112625.178478,-0.670829,0.629713,-0.391727,136.811,-23.062,113.062,23.062,132.131,50.971,113.062,11641339.049256,12401422.930369,-4.651745,17009293.505541
1 Jan 2027 00:08:00.000,57609224.663717,122483951.778712,-57628418.972492,147112799.861037,0.391599,0.832585,-0.391729,64.810,-23.062,113.062,23.062,66.946,33.635,113.062,15391794.100629,-7239395.149991,-4.418964,17009296.510259
1 Jan 2027 00:09:00.000,134291306.267228,-16940625.210452,-57628803.904008,147112945.592446,0.912845,-0.115154,-0.391732,-7.190,-23.062,113.062,23.062,24.098,96.613,113.062,-2128826.154284,-16875551.448744,-4.158187,17009295.620171
1 Jan 2027 00:10:00.000,25386196.644213,-132953642.009969,-57629185.584751,147113061.741421,0.172562,-0.903751,-0.391734,-79.190,-23.062,113.062,23.062,80.063,154.656,113.062,-16707456.435498,-3190121.512669,-3.870537,17009290.867337
1 Jan 2027 00:11:00.000,-118601890.888960,-65228087.026975,-57629561.833766,147113147.803952,-0.806195,-0.443387,-0.391736,-151.190,-23.063,113.063,23.063,143.726,116.320,113.063,-8196803.623329,14903962.383761,-3.557249,17009282.300439
1 Jan 2027 00:12:00.000,-98685127.372565,92640873.069092,-57629930.493424,147113203.405472,-0.670811,0.629725,-0.391739,136.809,-23.063,113.063,23.063,132.130,50.970,113.063,11641604.177901,12401141.785059,-3.219671,17009269.984572
1 Jan 2027 00:13:00.000,57611786.299478,122482381.427579,-57630289.438700,147113228.302474,0.391615,0.832572,-0.391741,64.809,-23.063,113.063,23.063,66.945,33.636,113.063,15391595.192158,-7239718.165112,-2.859255,17009254.000970
