"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
21 Mar 2027 00:00:00.000,-63281504.162134,-134872837.544058,-236011.324678,148980826.879010,-0.424763,-0.905303,-0.001584,-115.136,-0.091,90.091,0.091,115.136,154.864,90.091,-16948641.180711,7952190.637931,8.856710,18721478.943037
21 Mar 2027 00:01:00.000,-147827101.628156,18507532.065983,-235272.170173,148981327.930545,-0.992253,0.124227,-0.001579,172.864,-0.090,90.090,0.090,172.863,82.864,90.090,2325721.115981,18576521.657583,8.412207,18721542.019931
21 Mar 2027 00:02:00.000,-28078298.226075,146311787.427009,-234566.640657,148981827.726967,-0.188468,0.982078,-0.001574,100.863,-0.090,90.090,0.090,100.863,10.864,90.090,18386099.447887,3528432.769204,7.982651,18721604.918234
21 Mar 2027 00:03:00.000,130475121.922465,71916067.669389,-233894.703337,148982324.241645,0.875776,0.482715,-0.001570,28.863,-0.090,90.090,0.090,28.863,61.137,90.090,9037254.160575,-16396001.550900,7.569889,18721667.383542
21 Mar 2027 00:04:00.000,108714812.630546,-101867140.969332,-233256.180897,148982815.462074,0.729714,-0.683751,-0.001566,-43.138,-0.090,90.090,0.090,43.138,133.137,90.090,-12801011.608165,-13661524.244097,7.175698,18721729.163314
21 Mar 2027 00:05:00.000,-63287978.432698,-134872536.712268,-232650.752258,148983299.398531,-0.424799,-0.905286,-0.001562,-115.138,-0.089,90.089,0.089,115.138,154.862,90.089,-16948602.527251,7953005.310889,6.801773,18721790.007951
21 Mar 2027 00:06:00.000,-147828788.145843,18513791.563038,-232077.953958,148983774.092633,-0.992248,0.124267,-0.001558,172.862,-0.089,90.089,0.089,172.861,82.862,90.089,2326509.115826,18576733.040828,6.449724,18721849.671875
21 Mar 2027 00:07:00.000,-28072851.662712,146315291.241171,-231537.182143,148984237.625771,-0.188428,0.982086,-0.001554,100.861,-0.089,90.089,0.089,100.861,10.861,90.089,18386539.618753,3527746.704349,6.121064,18721907.914581
21 Mar 2027 00:08:00.000,130480098.247410,71911945.349541,-231027.695161,148984688.127355,0.875795,0.482680,-0.001551,28.861,-0.089,90.089,0.089,28.861,61.139,90.089,9036734.423743,-16396627.267728,5.817209,18721964.501678
21 Mar 2027 00:09:00.000,108712390.223829,-101873108.167730,-230548.616754,148985123.782869,0.729686,-0.683780,-0.001547,-43.140,-0.089,90.089,0.089,43.140,133.140,90.089,-12801762.380728,-13661218.214092,5.539465,18722019.205890
21 Mar 2027 00:10:00.000,-63294368.637630,-134872020.556789,-230098.939824,148985542.841677,-0.424836,-0.905269,-0.001544,-115.140,-0.088,90.088,0.088,115.140,154.860,90.088,-16948536.315033,7953809.751521,5.289027,18722071.808040
21 Mar 2027 00:11:00.000,-147830199.690709,18520008.243391,-229677.530763,148985943.624552,-0.992243,0.124307,-0.001542,172.859,-0.088,90.088,0.088,172.859,82.859,90.088,2327292.170900,18576909.511630,5.066974,18722122.097990
21 Mar 2027 00:12:00.000,-28067375.360356,146318470.354407,-229283.134332,148986324.530906,-0.188389,0.982093,-0.001539,100.859,-0.088,90.088,0.088,100.859,10.859,90.088,18386938.784949,3527056.416807,4.874260,18722169.875547
21 Mar 2027 00:13:00.000,130484724.246733,71907693.325439,-228914.379055,148986684.045670,0.875815,0.482645,-0.001536,28.858,-0.088,90.088,0.088,28.858,61.142,90.088,9036197.905009,-16397208.912038,4.711715,18722214.951322
21 Mar 2027 00:14:00.000,108709720.489805,-101878735.649782,-228569.783123,148987020.745820,0.729659,-0.683809,-0.001534,-43.142,-0.088,90.088,0.088,43.142,133.142,90.088,-12802470.545078,-13660880.668588,4.580039,18722257.147551
21 Mar 2027 00:15:00.000,-63300473.746154,-134871136.320018,-228247.760765,148987333.306495,-0.424872,-0.905252,-0.001532,-115.143,-0.088,90.088,0.088,115.143,154.857,90.088,-16948423.491901,7954578.545789,4.479797,18722296.298851
21 Mar 2027 00:16:00.000,-147831136.564835,18526040.228072,-227946.629069,148987620.506701,-0.992238,0.124346,-0.001530,172.857,-0.088,90.088,0.088,172.856,82.857,90.088,2328052.255607,18577026.072130,4.411422,18722332.252940
21 Mar 2027 00:17:00.000,-28061942.553930,146321099.994794,-227664.615227,148987881.234561,-0.188351,0.982101,-0.001528,100.857,-0.088,90.088,0.088,100.857,10.857,90.088,18387268.736308,3526371.335015,4.375208,18722364.871289
21 Mar 2027 00:18:00.000,130488773.096168,71903314.562478,-227399.864155,148988114.492104,0.875833,0.482611,-0.001526,28.856,-0.087,90.087,0.087,28.856,61.144,90.087,9035645.210863,-16397717.945721,4.371310,18722394.029718
21 Mar 2027 00:19:00.000,108706742.066356,-101883815.935099,-227150.446481,148988319.399555,0.729633,-0.683838,-0.001525,-43.144,-0.087,90.087,0.087,43.144,133.144,90.087,-12803109.922503,-13660504.115868,4.399746,18722419.618932
21 Mar 2027 00:20:00.000,-63306123.061971,-134869770.498925,-226914.366841,148988495.199126,-0.424906,-0.905236,-0.001523,-115.145,-0.087,90.087,0.087,115.145,154.855,90.087,-16948249.976600,7955290.072417,4.460393,18722441.544992
21 Mar 2027 00:21:00.000,-147831449.658506,18531765.368923,-226689.572467,148988641.258274,-0.992233,0.124384,-0.001522,172.855,-0.087,90.087,0.087,172.854,82.855,90.087,2328773.798290,18577064.109467,4.552991,18722459.729717
