"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Jan 2027 00:00:00.000,1 Jan 2027 00:08:01.849,481.849,1 Jan 2027 00:08:01.849,1 Jan 2027 00:08:11.326,9.478,1 Jan 2027 00:08:11.326,1 Jan 2027 00:43:15.971,2104.645
1 Jan 2027 00:43:25.393,1 Jan 2027 01:39:05.260,3339.867,1 Jan 2027 00:43:15.971,1 Jan 2027 00:43:25.393,9.422,1 Jan 2027 01:39:14.733,1 Jan 2027 02:14:19.701,2104.968
1 Jan 2027 02:14:29.111,1 Jan 2027 03:10:08.652,3339.541,1 Jan 2027 01:39:05.260,1 Jan 2027 01:39:14.733,9.473,1 Jan 2027 03:10:18.119,1 Jan 2027 03:45:23.424,2105.305
1 Jan 2027 03:45:32.829,1 Jan 2027 04:41:12.033,3339.204,1 Jan 2027 02:14:19.701,1 Jan 2027 02:14:29.111,9.410,1 Jan 2027 04:41:21.495,1 Jan 2027 05:16:27.142,2105.647
1 Jan 2027 05:16:36.540,1 Jan 2027 06:12:15.397,3338.857,1 Jan 2027 03:10:08.652,1 Jan 2027 03:10:18.119,9.467,1 Jan 2027 06:12:24.853,1 Jan 2027 06:47:30.855,2106.002
1 Jan 2027 06:47:40.245,1 Jan 2027 07:43:18.744,3338.499,1 Jan 2027 03:45:23.424,1 Jan 2027 03:45:32.829,9.405,1 Jan 2027 07:43:28.194,1 Jan 2027 08:18:34.560,2106.366
1 Jan 2027 08:18:43.944,1 Jan 2027 09:14:22.075,3338.130,1 Jan 2027 04:41:12.033,1 Jan 2027 04:41:21.495,9.462,1 Jan 2027 09:14:31.519,1 Jan 2027 09:49:38.263,2106.744
1 Jan 2027 09:49:47.638,1 Jan 2027 10:45:25.391,3337.753,1 Jan 2027 05:16:27.142,1 Jan 2027 05:16:36.540,9.398,1 Jan 2027 10:45:34.828,1 Jan 2027 11:20:41.958,2107.129
1 Jan 2027 11:20:51.324,1 Jan 2027 12:16:28.691,3337.366,1 Jan 2027 06:12:15.397,1 Jan 2027 06:12:24.853,9.456,1 Jan 2027 12:16:38.122,1 Jan 2027 12:51:45.646,2107.524
1 Jan 2027 12:51:55.004,1 Jan 2027 13:47:31.974,3336.970,1 Jan 2027 06:47:30.855,1 Jan 2027 06:47:40.245,9.390,1 Jan 2027 13:47:41.398,1 Jan 2027 14:22:49.327,2107.928
1 Jan 2027 14:22:58.677,1 Jan 2027 15:18:35.241,3336.564,1 Jan 2027 07:43:18.744,1 Jan 2027 07:43:28.194,9.450,1 Jan 2027 15:18:44.658,1 Jan 2027 15:53:53.000,2108.342
1 Jan 2027 15:54:02.341,1 Jan 2027 16:49:38.491,3336.150,1 Jan 2027 08:18:34.560,1 Jan 2027 08:18:43.944,9.385,1 Jan 2027 16:49:47.901,1 Jan 2027 17:24:56.665,2108.764
1 Jan 2027 17:25:05.998,1 Jan 2027 18:20:41.725,3335.727,1 Jan 2027 09:14:22.075,1 Jan 2027 09:14:31.519,9.444,1 Jan 2027 18:20:51.128,1 Jan 2027 18:56:00.320,2109.192
1 Jan 2027 18:56:09.644,1 Jan 2027 19:51:44.941,3335.296,1 Jan 2027 09:49:38.263,1 Jan 2027 09:49:47.638,9.375,1 Jan 2027 19:51:54.336,1 Jan 2027 20:27:03.971,2109.635
1 Jan 2027 20:27:13.284,1 Jan 2027 21:22:48.139,3334.855,1 Jan 2027 10:45:25.391,1 Jan 2027 10:45:34.828,9.437,1 Jan 2027 21:22:57.527,1 Jan 2027 21:58:07.611,2110.084
1 Jan 2027 21:58:16.917,1 Jan 2027 22:53:51.319,3334.403,1 Jan 2027 11:20:41.958,1 Jan 2027 11:20:51.324,9.367,1 Jan 2027 22:54:00.699,1 Jan 2027 23:29:11.239,2110.540
