"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
21 Mar 2027 00:06:47.870,21 Mar 2027 01:03:53.411,3425.541,21 Mar 2027 00:06:37.161,21 Mar 2027 00:06:47.870,10.709,21 Mar 2027 00:00:00.000,21 Mar 2027 00:06:37.161,397.161
21 Mar 2027 01:37:50.292,21 Mar 2027 02:34:57.954,3427.662,21 Mar 2027 01:03:53.411,21 Mar 2027 01:04:03.972,10.560,21 Mar 2027 01:04:03.972,21 Mar 2027 01:37:39.545,2015.573
21 Mar 2027 03:08:52.741,21 Mar 2027 04:06:02.534,3429.792,21 Mar 2027 01:37:39.545,21 Mar 2027 01:37:50.292,10.748,21 Mar 2027 02:35:08.552,21 Mar 2027 03:08:41.955,2013.404
21 Mar 2027 04:39:55.226,21 Mar 2027 05:37:07.160,3431.935,21 Mar 2027 02:34:57.954,21 Mar 2027 02:35:08.552,10.598,21 Mar 2027 04:06:13.169,21 Mar 2027 04:39:44.400,2011.232
21 Mar 2027 06:10:57.743,21 Mar 2027 07:08:11.826,3434.084,21 Mar 2027 03:08:41.955,21 Mar 2027 03:08:52.741,10.786,21 Mar 2027 05:37:17.833,21 Mar 2027 06:10:46.878,2009.045
21 Mar 2027 07:42:00.296,21 Mar 2027 08:39:16.532,3436.236,21 Mar 2027 04:06:02.534,21 Mar 2027 04:06:13.169,10.635,21 Mar 2027 07:08:22.537,21 Mar 2027 07:41:49.390,2006.853
21 Mar 2027 09:13:02.880,21 Mar 2027 10:10:21.285,3438.405,21 Mar 2027 04:39:44.400,21 Mar 2027 04:39:55.226,10.825,21 Mar 2027 08:39:27.283,21 Mar 2027 09:12:51.936,2004.653
21 Mar 2027 10:44:05.496,21 Mar 2027 11:41:26.078,3440.582,21 Mar 2027 05:37:07.160,21 Mar 2027 05:37:17.833,10.672,21 Mar 2027 10:10:32.072,21 Mar 2027 10:43:54.512,2002.441
21 Mar 2027 12:15:08.150,21 Mar 2027 13:12:30.913,3442.763,21 Mar 2027 06:10:46.878,21 Mar 2027 06:10:57.743,10.865,21 Mar 2027 11:41:36.903,21 Mar 2027 12:14:57.126,2000.223
21 Mar 2027 13:46:10.838,21 Mar 2027 14:43:35.790,3444.952,21 Mar 2027 07:08:11.826,21 Mar 2027 07:08:22.537,10.710,21 Mar 2027 13:12:41.777,21 Mar 2027 13:45:59.774,1997.998
21 Mar 2027 15:17:13.563,21 Mar 2027 16:14:40.710,3447.147,21 Mar 2027 07:41:49.390,21 Mar 2027 07:42:00.296,10.907,21 Mar 2027 14:43:46.693,21 Mar 2027 15:17:02.458,1995.765
21 Mar 2027 16:48:16.324,21 Mar 2027 17:45:45.672,3449.348,21 Mar 2027 08:39:16.532,21 Mar 2027 08:39:27.283,10.751,21 Mar 2027 16:14:51.652,21 Mar 2027 16:48:05.179,1993.527
21 Mar 2027 18:19:19.121,21 Mar 2027 19:16:50.676,3451.555,21 Mar 2027 09:12:51.936,21 Mar 2027 09:13:02.880,10.944,21 Mar 2027 17:45:56.653,21 Mar 2027 18:19:07.935,1991.282
21 Mar 2027 19:50:21.956,21 Mar 2027 20:47:55.723,3453.766,21 Mar 2027 10:10:21.285,21 Mar 2027 10:10:32.072,10.787,21 Mar 2027 19:17:01.697,21 Mar 2027 19:50:10.729,1989.032
21 Mar 2027 21:21:24.829,21 Mar 2027 22:19:00.812,3455.983,21 Mar 2027 10:43:54.512,21 Mar 2027 10:44:05.496,10.984,21 Mar 2027 20:48:06.783,21 Mar 2027 21:21:13.561,1986.778
21 Mar 2027 22:52:27.740,21 Mar 2027 23:50:05.943,3458.203,21 Mar 2027 11:41:26.078,21 Mar 2027 11:41:36.903,10.825,21 Mar 2027 22:19:11.912,21 Mar 2027 22:52:16.431,1984.518
