"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
1 Jan 2027 00:00:00.000,68306384.458004,-127588874.195129,-26347611.071346,147101596.134346,0.464348,-0.867352,-0.179112,-61.837,-10.318,100.318,10.318,62.332,150.152,100.318,-2.570487,-30313.402986,146749.417620,149847.569146
1 Jan 2027 00:01:00.000,68304926.963396,-129103039.854506,-17487957.552922,147101959.900342,0.464337,-0.877643,-0.118883,-62.118,-6.828,96.828,6.828,62.333,151.359,96.828,-17.296025,-20131.046642,148491.065312,149849.443828
1 Jan 2027 00:02:00.000,68303468.867578,-130002767.545483,-8544938.063830,147102343.269384,0.464326,-0.883757,-0.058088,-62.283,-3.330,93.330,3.330,62.333,152.099,93.330,-32.154031,-9852.759894,149526.002038,149850.269259
1 Jan 2027 00:03:00.000,68302010.170542,-130283767.981064,438886.067030,147102744.412402,0.464315,-0.885665,0.002984,-62.334,0.171,89.829,-0.171,62.334,152.333,89.829,-46.859861,472.542279,149849.293926,149850.046321
1 Jan 2027 00:04:00.000,68300550.872280,-129944696.515604,9420758.807613,147103161.415724,0.464304,-0.883358,0.064042,-62.273,3.672,86.328,-3.672,62.335,152.050,86.328,-61.131957,10795.720471,149459.393956,149848.796323
1 Jan 2027 00:05:00.000,68299090.972785,-128987159.579233,18357932.907883,147103592.290187,0.464292,-0.876846,0.124796,-62.099,7.169,82.831,-7.169,62.336,151.264,82.831,-74.697340,21067.644669,148358.149365,149846.560569
1 Jan 2027 00:06:00.000,68297630.472046,-127415707.067410,27207873.345583,147104034.980600,0.464281,-0.866161,0.184957,-61.808,10.659,79.341,-10.659,62.336,150.015,79.341,-87.296925,31239.428045,146550.792893,149843.399530
1 Jan 2027 00:07:00.000,68296169.370058,-125237810.721648,35928459.764381,147104487.375524,0.464270,-0.851353,0.244238,-61.395,14.137,75.863,-14.137,62.337,148.359,75.863,-98.690524,41262.659595,144045.917923,149839.391640
1 Jan 2027 00:08:00.000,68294707.666812,-122463828.604145,44478186.940916,147104947.317321,0.464258,-0.832493,0.302357,-60.853,17.599,72.401,-17.599,62.338,146.356,72.401,-108.661460,51089.634526,140855.437621,149834.631747
1 Jan 2027 00:09:00.000,68293245.362299,-119106955.835226,52816362.326654,147105412.612419,0.464247,-0.809671,0.359038,-60.171,21.041,68.959,-21.041,62.339,144.064,68.959,-117.020691,60673.581293,136994.528277,149829.229253
