"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
21 Mar 2027 00:00:00.000,-91094962.621865,75959494.718049,90160935.537444,148987017.387044,-0.611429,0.509840,0.605160,140.177,37.240,52.760,-37.240,127.693,59.347,52.760,-128.520953,103542.704165,-87369.032790,135478.618217
21 Mar 2027 00:01:00.000,-91099942.059039,81991991.537969,84706711.253733,148986955.975837,-0.611463,0.550330,0.568551,138.012,34.649,55.351,-34.649,127.695,56.610,55.351,-139.829578,97267.448956,-94307.184584,135479.966205
21 Mar 2027 00:02:00.000,-91104920.995149,87633895.359235,78849731.219279,148986866.396733,-0.611496,0.588199,0.529239,136.113,31.954,58.046,-31.954,127.698,53.971,58.046,-150.056173,90529.674692,-100796.076274,135482.447236
21 Mar 2027 00:03:00.000,-91109899.430136,92858380.269691,72617896.424849,148986749.214990,-0.611530,0.623266,0.487412,134.455,29.171,60.829,-29.171,127.700,51.445,60.829,-159.007609,83361.477860,-106804.854735,135485.933843
21 Mar 2027 00:04:00.000,-91114877.363943,97640608.704929,66040890.075854,148986605.127194,-0.611564,0.655365,0.443267,133.020,26.313,63.687,-26.313,127.703,49.053,63.687,-166.514743,75797.001628,-112304.953832,135490.279497
21 Mar 2027 00:05:00.000,-91119854.796510,101957849.526746,59150036.206435,148986434.957946,-0.611598,0.684343,0.397016,131.787,23.392,66.608,-23.392,127.705,46.816,66.608,-172.435542,67872.273227,-117270.230222,135495.321333
21 Mar 2027 00:06:00.000,-91124831.727775,105789586.068973,51978150.493758,148986239.655921,-0.611633,0.710063,0.348879,130.741,20.419,69.581,-20.419,127.708,44.760,69.581,-176.657708,59625.032358,-121677.087618,135500.883181
21 Mar 2027 00:07:00.000,-91129808.157676,109117613.637490,44559383.982099,148986020.289353,-0.611667,0.732402,0.299084,129.867,17.403,72.597,-17.403,127.710,42.912,72.597,-179.100781,51094.551450,-125504.588925,135506.778820
21 Mar 2027 00:08:00.000,-91134784.086148,111926126.000078,36929060.462594,148985778.040939,-0.611701,0.751254,0.247870,129.154,14.351,75.649,-14.351,127.713,41.301,75.649,-179.717671,42321.448618,-128734.555714,135512.815433
21 Mar 2027 00:09:00.000,-91139759.513127,114201790.455834,29123508.282271,148985514.202208,-0.611736,0.766529,0.195479,128.592,11.273,78.727,-11.273,127.715,39.957,78.727,-178.495594,33347.494227,-131351.654552,135518.797167
