"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
1 Jan 2027 00:00:00.000,25386896.582000,-132942118.508455,-57626193.642221,147101596.134346,0.172581,-0.903744,-0.391744,-79.189,-23.063,113.063,23.063,80.062,154.655,113.063,-16706008.596282,-3190218.947052,-3.956602,17007886.998366
1 Jan 2027 00:01:00.000,-118591161.370350,-65225123.602342,-57626437.530119,147101959.900342,-0.806183,-0.443401,-0.391745,-151.189,-23.063,113.063,23.063,143.725,116.321,113.063,-8196440.532855,14902610.880454,-3.943450,17007923.108448
1 Jan 2027 00:02:00.000,-98679111.276012,92632049.236643,-57626693.878273,147102343.269384,-0.670819,0.629712,-0.391746,136.810,-23.063,113.063,23.063,132.130,50.971,113.063,11640488.918060,12400393.657290,-3.901535,17007961.227239
1 Jan 2027 00:03:00.000,57605661.644154,122474236.235291,-57626960.867131,147102744.412402,0.391602,0.832576,-0.391746,64.810,-23.063,113.063,23.063,66.946,33.636,113.063,15390576.974329,-7238939.520345,-3.831056,17008001.204785
1 Jan 2027 00:04:00.000,134281284.812361,-16940432.298321,-57627236.626340,147103161.415724,0.912838,-0.115160,-0.391747,-7.190,-23.063,113.063,23.063,24.100,96.613,113.063,-2128792.813483,-16874292.987946,-3.732349,17008042.882290
1 Jan 2027 00:05:00.000,25383225.990577,-132944453.546621,-57627519.243667,147103592.290187,0.172553,-0.903747,-0.391748,-79.191,-23.063,113.063,23.063,80.064,154.655,113.063,-16706299.414853,-3189757.420859,-3.605884,17008086.092875
1 Jan 2027 00:06:00.000,-118594496.275626,-65222530.210878,-57627806.774121,147104034.980600,-0.806195,-0.443377,-0.391749,-151.191,-23.063,113.063,23.063,143.726,116.320,113.063,-8196113.483475,14903027.625093,-3.452263,17008130.662372
1 Jan 2027 00:07:00.000,-98677834.905090,92635940.713600,-57628097.249224,147104487.375524,-0.670801,0.629729,-0.391749,136.809,-23.063,113.063,23.063,132.129,50.970,113.063,11640976.178039,12400231.385782,-3.272219,17008176.410145
1 Jan 2027 00:08:00.000,57609623.568238,122474346.762767,-57628388.686404,147104947.317321,0.391623,0.832564,-0.391750,64.809,-23.063,113.063,23.063,66.944,33.637,113.063,15390588.520804,-7239436.421579,-3.066609,17008223.149959
1 Jan 2027 00:09:00.000,134282682.112953,-16943997.456032,-57628679.098445,147105412.612419,0.912833,-0.115183,-0.391751,-7.192,-23.063,113.063,23.063,24.100,96.614,113.063,-2129240.748408,-16874466.087218,-2.836413,17008270.690854
