"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
21 Mar 2027 00:00:00.000,-63286854.247092,-134877159.532629,-239302.746500,148987017.387044,-0.424781,-0.905295,-0.001606,-115.137,-0.092,90.092,0.092,115.137,154.863,90.092,-16949171.192262,7952867.943356,13.153116,18722246.463212
21 Mar 2027 00:01:00.000,-147832389.832794,18510558.336340,-238321.941188,148986955.975837,-0.992251,0.124243,-0.001600,172.863,-0.092,90.092,0.092,172.862,82.863,90.092,2326110.319262,18577175.424114,12.742936,18722239.074316
21 Mar 2027 00:02:00.000,-28077603.593446,146317046.831738,-237363.869062,148986866.396733,-0.188457,0.982080,-0.001593,100.863,-0.091,90.091,0.091,100.863,10.863,90.091,18386753.089835,3528333.670646,12.328669,18722228.170763
21 Mar 2027 00:03:00.000,130479473.199244,71917331.821304,-236429.698362,148986749.214990,0.875779,0.482710,-0.001587,28.863,-0.091,90.091,0.091,28.863,61.137,90.091,9037399.661876,-16396545.299913,11.912291,18722213.822642
21 Mar 2027 00:04:00.000,108717364.313216,-101869955.012339,-235520.483304,148986605.127194,0.729712,-0.683752,-0.001581,-43.138,-0.091,90.091,0.091,43.138,133.138,90.091,-12801366.626686,-13661831.499147,11.495789,18722196.116430
21 Mar 2027 00:05:00.000,-63288967.637626,-134875532.704214,-234637.159054,148986434.957946,-0.424797,-0.905287,-0.001575,-115.138,-0.090,90.090,0.090,115.138,154.862,90.090,-16948967.045099,7953135.144253,11.081149,18722175.154579
21 Mar 2027 00:06:00.000,-147831363.835535,18513044.590174,-233780.537263,148986239.655921,-0.992248,0.124260,-0.001569,172.862,-0.090,90.090,0.090,172.861,82.862,90.090,2326424.112337,18577047.423544,10.670349,18722151.055025
21 Mar 2027 00:07:00.000,-28074896.315093,146316711.869311,-232951.302196,148986020.289353,-0.188440,0.982083,-0.001564,100.862,-0.090,90.090,0.090,100.862,10.862,90.090,18386712.415057,3527992.600429,10.265349,18722123.950631
21 Mar 2027 00:08:00.000,130479887.359604,71914582.383986,-232150.007464,148985778.040939,0.875788,0.482694,-0.001558,28.862,-0.089,90.089,0.089,28.862,61.138,90.089,9037053.947415,-16396599.015264,9.868082,18722093.988546
21 Mar 2027 00:09:00.000,108714774.063878,-101871133.335142,-231377.073390,148985514.202208,0.729700,-0.683765,-0.001553,-43.139,-0.089,90.089,0.089,43.139,133.139,90.089,-12801516.343691,-13661506.495551,9.480441,18722061.329508
21 Mar 2027 00:10:00.000,-63290870.984071,-134873315.621063,-230632.784995,148985230.167365,-0.424813,-0.905280,-0.001548,-115.139,-0.089,90.089,0.089,115.139,154.861,90.089,-16948689.582831,7953375.665503,9.104277,18722026.147078
21 Mar 2027 00:11:00.000,-147829731.027779,18515570.815344,-229917.290645,148984927.426650,-0.992246,0.124278,-0.001543,172.861,-0.088,90.088,0.088,172.860,82.861,90.088,2326742.365071,18576843.868348,8.741384,18721988.626812
21 Mar 2027 00:12:00.000,-28071916.077556,146315851.057385,-229230.601342,148984607.559240,-0.188422,0.982087,-0.001539,100.861,-0.088,90.088,0.088,100.861,10.861,90.088,18386606.112828,3527617.994317,8.393493,18721948.965377
21 Mar 2027 00:13:00.000,130479939.395523,71911379.770813,-228572.590672,148984272.225731,0.875797,0.482678,-0.001534,28.860,-0.088,90.088,0.088,28.861,61.140,90.088,9036652.149489,-16396607.377304,8.062263,18721907.369613
21 Mar 2027 00:14:00.000,108711630.500105,-101872168.899118,-227942.995408,148983923.160222,0.729687,-0.683780,-0.001530,-43.140,-0.088,90.088,0.088,43.140,133.140,90.088,-12801647.961225,-13661112.809407,7.749275,18721864.055552
21 Mar 2027 00:15:00.000,-63292871.166565,-134870540.036997,-227341.416769,148983562.162067,-0.424831,-0.905271,-0.001526,-115.140,-0.087,90.087,0.087,115.140,154.860,90.087,-16948342.660823,7953627.913280,7.456021,18721819.247382
21 Mar 2027 00:16:00.000,-147827629.673922,18518415.378363,-226767.322322,148983191.087298,-0.992244,0.124299,-0.001522,172.860,-0.087,90.087,0.087,172.859,82.860,90.087,2327099.964358,18576581.941355,7.183902,18721773.176386
21 Mar 2027 00:17:00.000,-28068449.461613,146314692.334714,-226220.048523,148982811.839794,-0.188401,0.982091,-0.001518,100.859,-0.087,90.087,0.087,100.859,10.860,90.087,18386462.606465,3527183.044522,6.934213,18721726.079840
21 Mar 2027 00:18:00.000,130479917.955912,71907603.457777,-225698.803887,148982426.362214,0.875807,0.482658,-0.001515,28.859,-0.087,90.087,0.087,28.859,61.141,90.087,9036179.045201,-16396606.444104,6.708148,18721678.199878
