"Time (UTCG)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","RightAscension (deg)","Declination (deg)","Co-Declination (deg)","NegativeDeclination (deg)","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Derivative x (km/sec)","Derivative y (km/sec)","Derivative z (km/sec)","Derivative Magnitude (km/sec)"
21 Mar 2027 00:00:00.000,75959494.718049,91094962.621865,90160935.537444,148987017.387044,0.509840,0.611429,0.605160,50.177,37.240,52.760,-37.240,59.347,52.307,52.760,103542.704165,128.520953,-87369.032790,135478.618217
21 Mar 2027 00:01:00.000,81991991.537969,91099942.059039,84706711.253733,148986955.975837,0.550330,0.611463,0.568551,48.012,34.649,55.351,-34.649,56.610,52.305,55.351,97267.448956,139.829578,-94307.184584,135479.966205
21 Mar 2027 00:02:00.000,87633895.359235,91104920.995149,78849731.219279,148986866.396733,0.588199,0.611496,0.529239,46.113,31.954,58.046,-31.954,53.971,52.302,58.046,90529.674692,150.056173,-100796.076274,135482.447236
21 Mar 2027 00:03:00.000,92858380.269691,91109899.430136,72617896.424849,148986749.214990,0.623266,0.611530,0.487412,44.455,29.171,60.829,-29.171,51.445,52.300,60.829,83361.477860,159.007609,-106804.854735,135485.933843
21 Mar 2027 00:04:00.000,97640608.704929,91114877.363943,66040890.075854,148986605.127194,0.655365,0.611564,0.443267,43.020,26.313,63.687,-26.313,49.053,52.297,63.687,75797.001628,166.514743,-112304.953832,135490.279497
21 Mar 2027 00:05:00.000,101957849.526746,91119854.796510,59150036.206435,148986434.957946,0.684343,0.611598,0.397016,41.787,23.392,66.608,-23.392,46.816,52.295,66.608,67872.273227,172.435542,-117270.230222,135495.321333
21 Mar 2027 00:06:00.000,105789586.068973,91124831.727775,51978150.493758,148986239.655921,0.710063,0.611633,0.348879,40.741,20.419,69.581,-20.419,44.760,52.292,69.581,59625.032358,176.657708,-121677.087618,135500.883181
21 Mar 2027 00:07:00.000,109117613.637490,91129808.157676,44559383.982099,148986020.289353,0.732402,0.611667,0.299084,39.867,17.403,72.597,-17.403,42.912,52.290,72.597,51094.551450,179.100781,-125504.588925,135506.778820
21 Mar 2027 00:08:00.000,111926126.000078,91134784.086148,36929060.462594,148985778.040939,0.751254,0.611701,0.247870,39.154,14.351,75.649,-14.351,41.301,52.287,75.649,42321.448618,179.717671,-128734.555714,135512.815433
21 Mar 2027 00:09:00.000,114201790.455834,91139759.513127,29123508.282270,148985514.202208,0.766529,0.611736,0.195479,38.592,11.273,78.727,-11.273,39.957,52.285,78.727,33347.494227,178.495594,-131351.654552,135518.797167
