board_revision,filter,shunt_pF,frequency_MHz,insertion_loss_dB,input_return_loss_dB,output_return_loss_dB,calibration_plane,assembly_configuration,touchstone_file,notes
,RX,9.1,435,,,,,,,
,RX,9.1,437,,,,,,,
,RX,8.2,435,,,,,,,
,RX,8.2,437,,,,,,,
,RX,7.5,435,,,,,,,
,RX,7.5,437,,,,,,,
,TX_preselector,9.1,435,,,,,,,
,TX_preselector,9.1,437,,,,,,,
,TX_preselector,8.2,435,,,,,,,
,TX_preselector,8.2,437,,,,,,,
,TX_preselector,7.5,435,,,,,,,
,TX_preselector,7.5,437,,,,,,,
,TX_output,9.1,435,,,,,,,
,TX_output,9.1,437,,,,,,,
,TX_output,8.2,435,,,,,,,
,TX_output,8.2,437,,,,,,,
,TX_output,7.5,435,,,,,,,
,TX_output,7.5,437,,,,,,,
,LO,9.1,435,,,,,,,
,LO,9.1,437,,,,,,,
,LO,8.2,435,,,,,,,
,LO,8.2,437,,,,,,,
,LO,7.5,435,,,,,,,
,LO,7.5,437,,,,,,,
