Name,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"CC0603JRNPO9BN150","CAP CER 15PF 50V C0G/NPO 0603","C1, C4","FP-CC0603-0_9-MFG","CMP-03422-001493-1","2","C107037"
"CL05B104KO5NNNC","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","C2, C3, C5, C7, C8, C14, C15, C17, C33, C34, C35, C36, C38, C42, C48, C51, C53","CAPC1050X55X23ML05T13","CMP-2000-05439-1","17","C1525"
"CL21A106KAYNNNE","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor","C6, C18, C41","FP-CL21-IPC_A","CMP-13271-002975-1","3","C15850"
"CL05C100JB5NNNC","Capacitor","C9, C10, C11, C16, C19, C22, C24, C29, C30, C31, C32","CAPC1005X55N","CL05C100JB5NNNC","11","C32949"
"GJM1555C1H6R8BB01D","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R","C12, C13, C20, C21","FP-GJM155-0_05-IPC_A","CMP-2008-03772-2","4","C88896"
"0402CG330J500NT","Capacitor","C23","CAPC1005X55N","0402CG330J500NT","1","C1562"
"C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C27, C50, C52","FP-C0805C-DG-MFG","CMP-2007-03243-2","3","C2167673"
"C0402C222F3GECAUTO","Capacitor","C39, C40","C0402","C0402C222F3GECAUTO","2","C3892498"
"EEHZA1V470P","Aluminum Hybrid Polymer Capacitors 47uF 20% 35V Life 10000Hours AEC-Q200 RADIAL SMT","C43, C49","FP-EEH-D-MFG","CMP-05428-000653-1","2","C178639"
"SS14","DIODE SCHOTTKY 40V 1A SMA","D1, D2","FP-403AE-MFG","CMP-2000-04943-2","2","C2480"
"LTST-S270KGKT","LED GREEN CLEAR CHIP SMD R/A","D3, D4","FP-LTST-S270KGKT-MFG","CMP-2000-06629-2","2","C125113"
"APG1608SEKC/T","LED, SMT, 0603(1608), 0.25mm Tthickness, Super Bright Orange","DS1, DS2, DS3","KING-LED0603-25-ORANGE_V","CMP-0239-00002-1","3","C5875738"
"ESQ-126-37-G-D","","H1, H2","SAMTEC_ESQ-126-37-G-D","CMP-015-000000-1","2",""
"ADE-1+","Double Balanced Mixer, 0.5MHz Min, 500MHz Max, 7.8dB Conversion Loss-Max","IC1","ADE-1+-Footprint-1","CMP-00025-00003-7","1","C2942210"
"PSA4-5043+","Integrated Circuit","IC2","PSA45043","PSA4-5043+","1","C5240848"
"ESQ-120-14-G-S","CONN SOCKET 20POS 0.1 GOLD PCB","J1, J2, J3","FP-ESQ-120-14-G-S-MFG","CMP-02766-000124-1","3",""
"73415-1471","CONN MMCX JACK STR 50 OHM PCB","J4, J5","FP-73415-1471-MFG","CMP-04764-000011-1","2",""
"0805CS-221XJLC","Ind Chip Wirewound 220nH 5% 100MHz 50Q-Factor Ceramic 400mA 0805 Embossed Plastic T/R","L1","Chip2PinSM127P600-8N","CMP-006-00025-1","1","C22406281"
"LQG15HS15NJ02D","Multilayer type RF Inductor 15nH ±5% 0.32O 450mA 0402","L2, L3, L4, L6, L7, L8","FP-LQG15HH_02-IPC_B","CMP-2100-03652-2","6","C86059"
"LQW2BASR22J00L","Wire Wound RF Inductor 220nH ±5% 400mA 0.7O 0805 (2015)","L5","FP-LQW2BAN_00-MFG","CMP-06042-011308-1","1","C337958"
"LQW15AN82NG00D","Wire Wound RF Inductor 82nH ±2% 130mA 2.24O 0402 (1005)","L9, L10, L11","FP-LQW15AN_00-W0_5-0_1-MFG","CMP-06042-015778-1","3","C167487"
"0402CS-68NXGRW","General Purpose Inductor, 0.068uH, 2%, 1 Element, Ceramic-Core, SMD, 0402","L12, L13","Chip2PinSM127P600-8N","CMP-006-00024-1","2","C43289019"
"WI0805QD1R0MST-HF","1.2A 10@1MHz 120mO 1A 1uH 550MHz Wire-wound chip inductor ±20% 0805 Inductors (SMD) ROHS","L14","WI0805QD1R0MST-HF-Footprint-1","CMP-006-00023-2","1","C18221300"
"MMBT3904LT1G","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q1","ONSC-SOT-23-3-318-08_V","CMP-1048-00631-1","1","C2926158"
"RC0402JR-070RL","","R1, R2, R17, R18","RESC1005X40X25NL05T10","CMP-1011-00001-2","4","C60485, C1152"
"0402WGF4701TCE","Resistor","R3, R4","RESC1005X40N","0402WGF4701TCE","2","C25900"
"AC0402JR-0747KL","RES 47kO ±5% 0.063W 0402","R5","FP-AC0402-IPC_B","CMP-2002-01760-2","1","C144710"
