"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R5","AC0402JR-0747KL","Top","FP-AC0402-IPC_B","39,3732","26,5684","0","RES 47kO ±5% 0.063W 0402"
"C39","C0402C222F3GECAUTO","Top","C0402","70,0024","22,9544","90","Capacitor"
"L14","WI0805QD1R0MST-HF","Top","WI0805QD1R0MST-HF-Footprint-1","61,3385","23,1169","180","1.2A 10@1MHz 120mO 1A 1uH 550MHz Wire-wound chip inductor ±20% 0805 Inductors (SMD) ROHS"
"L13","0402CS-68NXGRW","Top","Chip2PinSM127P600-8N","64,9448","32,7914","0","General Purpose Inductor, 0.068uH, 2%, 1 Element, Ceramic-Core, SMD, 0402"
"L12","0402CS-68NXGRW","Top","Chip2PinSM127P600-8N","62,2778","32,7406","0","General Purpose Inductor, 0.068uH, 2%, 1 Element, Ceramic-Core, SMD, 0402"
"IC2","PSA4-5043+","Top","PSA45043","61,6483","19,4535","0","Integrated Circuit"
"IC1","ADE-1+","Top","ADE-1+-Footprint-1","64,5540","27,9218","270","Double Balanced Mixer, 0.5MHz Min, 500MHz Max, 7.8dB Conversion Loss-Max"
"C24","CL05C100JB5NNNC","Top","CAPC1005X55N","66,7794","32,7660","0","Capacitor"
"C23","0402CG330J500NT","Top","CAPC1005X55N","63,5762","33,2514","90","Capacitor"
"C22","CL05C100JB5NNNC","Top","CAPC1005X55N","60,9092","33,2006","90","Capacitor"
"J3","ESQ-120-14-G-S","Top","FP-ESQ-120-14-G-S-MFG","90,0000","45,0900","90","CONN SOCKET 20POS 0.1 GOLD PCB"
"J2","ESQ-120-14-G-S","Top","FP-ESQ-120-14-G-S-MFG","60,0000","36,2000","180","CONN SOCKET 20POS 0.1 GOLD PCB"
"J1","ESQ-120-14-G-S","Top","FP-ESQ-120-14-G-S-MFG","60,0000","53,9800","180","CONN SOCKET 20POS 0.1 GOLD PCB"
