Name,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"CGA3E2X7R1H104K080AD","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R","C1, C5","FP-CGA3E-0_3-0_1-MFG","CMP-08246-001259-1","2","C2169810"
"0402ZC223KAT2A","","C2","CAPC1005X56X25ML10T15","CMP-2008-02865-1","1","C2176248"
"C1210C226M3RACTU","CAP CER 22UF 25V X7R 1210","C3, C9, C10, C18, C19","FP-C1210C226M3RACTU-MFG","CMP-03020-034666-1","5","C2168326"
"CC0805KKX5R6BB475","CAP CER 4.7UF 10V X5R 0805","C6","FP-CC0805-0_85-MFG","CMP-03422-001315-1","1","C107125"
"JMK105BJ105KV8F","None","C7","FP-0402-L_1_0_0_05-W_0_5-IPC_B","CMP-14477-002459-2","1","C20241957"
"CC0402KPX7R7BB104","CAP CER 0.1UF 16V X7R 0402","C8, C11, C17, C20","FP-CC0402-MFG","CMP-03422-001121-1","4","C60474"
"CL32B106KLULNNE","Cap Ceramic 10uF 35V X7R ±10% SMD 1210 +125°C Embossed T/R","C12, C13, C21, C22","FP-CL32-IPC_C","CMP-13271-002443-1","4","C2973802"
"CL05B104KB5NNNC","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R","C14, C23","FP-CL891-IPC_C","CMP-13271-001945-1","2","C960916"
"C0402C333K4RAC","C0402 33,000 pF X7R 10.00% 16 V","C15, C24","FP-C0402-BB-MFG","CMP-03020-013763-1","2","C22401970"
"C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C29, C31","FP-C0805C-DG-MFG","CMP-2007-03243-2","2","C2167673"
"LMK105B7104KVHF","None","C30","FP-0402-L_1_0_0_05-W_0_5-IPC_B","CMP-14477-001294-2","1","C385888"
"EMK105B7104KV-F","Ceramic Capacitor General Use 0.1uF ±10% 16V X7R 0402","C32","FP-0402-L_1_0_0_05-W_0_5-MFG","CMP-14477-000055-3","1","C92753"
"SS14","DIODE SCHOTTKY 40V 1A SMA","D1, D2, D3, D4","FP-403AE-MFG","CMP-2000-04943-2","4","C2480"
"74405042047","WE-LQSH SMT Semi-Shielded Power Inductor","L1","WE-LQSH_4020","CMP-03913-77814896-2","1","C2045329"
"74438357047","Inductor Power Shielded Wirewound 4.7uH 20% 100KHz Metal 5.1A 0.044Ohm DCR T/R Automotive AEC-Q200","L2","WE-MAPI_4030","CMP-03913-81252530-3","1","C6707914"
"74439346068","Fixed Ind 6.8UH 6.5A 17.6MOHM Sm","L3","WE-XHMI_6060","CMP-03913-75811202-2","1","C2041388"
"FDMC8327L","Description","Q1, Q2","WDFN8_511DR_OSI","CMP-004-000000-1","2","C890957"
"WSLP0805R0100FEA","","R1, R4","RESC2013X58X38LL25T25","CMP-2001-04321-1","2","C844293"
"CR0402AFX-1002GAS","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C","R2, R3, R5","FP-CR0402-MFG","CMP-07231-005993-1","3","C2091111"
"RK73H2ALTD2R70F","2.7O ±1% 0.25W Chip Resistor 0805 Thick Film AEC-Q200 Qualified","R6","FP-RK73H2A-IPC_A","CMP-04015-095451-1","1","C317209"
"FRC0603F6342TS","RES SMD 100 OHM 1% 1/8W 0603","R7","FP-MCT0603-IPC_B","CMP-02407-009082-1","1","C2999593"
"AC0603FR-07226KL","RES 226KO 1.00% 0.1W 0603","R8, R12","FP-AC0603-IPC_B","CMP-03412-006016-2","2","C227714"
"RK73H1JTTD3162F","","R9","RESC1608X55X30LL20T10","CMP-2000-01414-1","1","C276202"
"SG73P1JTTD1002F","SG73P1JTTD1002F Res Thick Film 0603 10K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R","R10, R14","FP-SG73P1J-MFG","CMP-00683-07748074-1","2","C880254"
"CRCW060361K9FKTA","","R11, R15","RESC1609X50X30LL10T20","CMP-2000-03510-1","2","C4158176"
"CRCW060352K3FKEA","RES Thick Film, 52.3kO, 1%, 0.1W, 100ppm/°C, 0603","R13","FP-CRCW0603-e3-IPC_B","CMP-2000-03451-2","1","C2076738"
"LTC4162EUFD-LADMTRPBF","35V/3.2A Multi-Cell Lithium-Ion Step-Down Battery Charger with PowerPath and I2C Telemetry","U1","05-08-1712_ADI","CMP-00029-00001-5","1","C7460387"
"TPS62933FDRLR","3.8-V to 30-V input, 3-A, 200-kHz to 2.2-MHz synchronous buck converter in SOT-583 package 8-SOT-5X3 -40 to 150","U2, U3","SOT5X3-8_DRL_TEX","CMP-012-000000-3","2","C5219272"
