"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"BT5","54","BottomLayer","FP-54-MFG","25.9100","55.8500","270","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"BT1","54","BottomLayer","FP-54-MFG","25.9100","14.7850","270","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"J6","TMM-102-03-L-S","Top","FP-TMM-102-03-L-S-MFG","35.6500","66.6500","0","CONN HEADER 2POS SNGL 2MM T/H"
"U1","LTC4162EUFD-LADMTRPBF","Top","05-08-1712_ADI","45.0000","65.4000","270","35V/3.2A Multi-Cell Lithium-Ion Step-Down Battery Charger with PowerPath and I2C Telemetry"
"Q2","FDMC8327L","Top","WDFN8_511DR_OSI","58.3000","58.2000","0","Description"
"H1","ESQ-126-39-G-D","BottomLayer","SAMTEC_ESQ-126-39-G-D","11.4300","45.7200","270","52 Position Elevated Socket Connector Through Hole"
"BT8","54","BottomLayer","FP-54-MFG","81.2900","76.0500","90","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"BT7","54","BottomLayer","FP-54-MFG","25.9100","76.0500","270","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"BT6","54","BottomLayer","FP-54-MFG","81.2900","55.8500","90","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"BT4","54","BottomLayer","FP-54-MFG","81.2900","34.9850","90","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"BT3","54","BottomLayer","FP-54-MFG","25.9100","34.9850","270","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"BT2","54","BottomLayer","FP-54-MFG","81.2900","14.7850","90","Battery holder; button contact; A; 17500, 18350, 18650; battery diameter 16-19mm; THT"
"U3","TPS62933FDRLR","Top","SOT5X3-8_DRL_TEX","50.7216","29.9040","270","3.8-V to 30-V input, 3-A, 200-kHz to 2.2-MHz synchronous buck converter in SOT-583 package 8-SOT-5X3 -40 to 150"
"U2","TPS62933FDRLR","Top","SOT5X3-8_DRL_TEX","49.0440","44.8760","270","3.8-V to 30-V input, 3-A, 200-kHz to 2.2-MHz synchronous buck converter in SOT-583 package 8-SOT-5X3 -40 to 150"
"TP8","TPAD6R","Top","TP06R","94.4880","37.0840","90","0.6mm round"
"TP7","TPAD6R","Top","TP06R","57.3750","63.0250","90","0.6mm round"
"TP6","TPAD6R","Top","TP06R","37.5136","26.8560","90","0.6mm round"
"TP5","TPAD6R","Top","TP06R","38.3760","42.0820","90","0.6mm round"
"TP4","TPAD6R","Top","TP06R","91.3750","78.7000","90","0.6mm round"
"TP3","TPAD6R","Top","TP06R","69.6000","65.9250","90","0.6mm round"
"TP2","TPAD6R","Top","TP06R","43.7000","72.7000","90","0.6mm round"
"TP1","TPAD6R","Top","TP06R","46.1500","76.7250","90","0.6mm round"
"R15","CRCW060361K9FKTA","Top","RESC1609X50X30LL10T20","53.0076","32.1900","180",""
"R14","SG73P1JTTD1002F","Top","FP-SG73P1J-MFG","53.7576","25.5860","0","SG73P1JTTD1002F Res Thick Film 0603 10K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R"
"R13","CRCW060352K3FKEA","Top","FP-CRCW0603-e3-IPC_B","53.4690","27.3640","0","RES Thick Film, 52.3kO, 1%, 0.1W, 100ppm/°C, 0603"
"R12","AC0603FR-07226KL","Top","FP-AC0603-IPC_B","61.5500","35.8250","180","RES 226KO 1.00% 0.1W 0603"
"R11","CRCW060361K9FKTA","Top","RESC1609X50X30LL10T20","51.2630","46.9080","180",""
"R10","SG73P1JTTD1002F","Top","FP-SG73P1J-MFG","50.3000","40.7000","0","SG73P1JTTD1002F Res Thick Film 0603 10K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R"
"R9","RK73H1JTTD3162F","Top","RESC1608X55X30LL20T10","51.0760","42.4780","270",""
"R8","AC0603FR-07226KL","Top","FP-AC0603-IPC_B","51.7000","48.7000","180","RES 226KO 1.00% 0.1W 0603"
"R7","MCT0603ME6342BP100","Top","FP-MCT0603-IPC_B","39.6750","65.3500","0","RES SMD 100 OHM 1% 1/8W 0603"
"R6","RK73H2ALTD2R70F","Top","FP-RK73H2A-IPC_A","62.6495","73.6500","180","2.7O ±1% 0.25W Chip Resistor 0805 Thick Film AEC-Q200 Qualified"
"R5","CR0402AFX-1002GAS","Top","FP-CR0402-MFG","39.4250","68.1000","180","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C"
"R4","WSLP0805R0100FEA","Top","RESC2013X58X38LL25T25","52.0250","57.4000","0",""
"R3","CR0402AFX-1002GAS","Top","FP-CR0402-MFG","16.1250","53.9875","270","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C"
"R2","CR0402AFX-1002GAS","Top","FP-CR0402-MFG","17.7000","54.0250","270","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C"
"R1","WSLP0805R0100FEA","Top","RESC2013X58X38LL25T25","57.6250","68.5250","270",""
"Q1","FDMC8327L","Top","WDFN8_511DR_OSI","57.6250","72.3000","270","Description"
"L3","74439346068","Top","WE-XHMI_6060","44.4036","26.6020","270","Fixed Ind 6.8UH 6.5A 17.6MOHM Sm"
"L2","74438357047","Top","WE-MAPI_4030","44.0490","42.5900","180","Inductor Power Shielded Wirewound 4.7uH 20% 100KHz Metal 5.1A 0.044Ohm DCR T/R Automotive AEC-Q200"
"L1","74405042047","Top","WE-LQSH_4020","54.4000","63.5500","90","WE-LQSH SMT Semi-Shielded Power Inductor"
"J8","TMM-102-03-T-S","Top","FP-TMM-102-03-T-S-MFG","60.9600","6.3500","0","CONN HEADER VERT 2POS 2MM"
"J4","B2B-PH-K-S(LF)(SN)","Top","JST-B2B-PH-K-S_V","47.5140","84.4500","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"J3","B2B-PH-K-S(LF)(SN)","Top","JST-B2B-PH-K-S_V","53.6100","84.4500","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"J2","B2B-PH-K-S(LF)(SN)","Top","JST-B2B-PH-K-S_V","59.7060","84.4500","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"J1","B2B-PH-K-S(LF)(SN)","Top","JST-B2B-PH-K-S_V","65.7860","84.4500","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"H2","ESQ-126-39-G-D","BottomLayer","SAMTEC_ESQ-126-39-G-D","6.3500","45.7200","270","52 Position Elevated Socket Connector Through Hole"
"D4","SS14","Top","FP-403AE-MFG","48.5140","78.9940","270","DIODE SCHOTTKY 40V 1A SMA"
"D3","SS14","Top","FP-403AE-MFG","54.6100","78.9940","270","DIODE SCHOTTKY 40V 1A SMA"
"D2","SS14","Top","FP-403AE-MFG","60.4500","78.9940","270","DIODE SCHOTTKY 40V 1A SMA"
"D1","SS14","Top","FP-403AE-MFG","66.8020","78.9940","270","DIODE SCHOTTKY 40V 1A SMA"
