LCSC,Type,MPN,Manufacturer,Category,Subcategory,Package,Description,Stock,Unit_Price,Process,Min_Qty
C2286,Basic,KT-0603R,Hubei KENTO Elec,,,0603,-40℃~+85℃ 1.8V~2.4V 120° 20mA 300mcd 40mW 615nm~630nm 645nm Discrete Diode Red Water Clear 0603 LED Indication - Discret,6077899,$0.0060,SMT,20
C2290,Basic,KT-0603W,Hubei KENTO Elec,,,0603,-40℃~+85℃ 100mW 120° 2.6V~3.1V 360mcd 5mA Discrete Diode Top-mount White Yellow Lens 0603 LED Indication - Discrete ROHS,2500038,$0.0109,SMT,20
C2296,Basic,KT-0805Y,Hubei KENTO Elec,,,0805,-40℃~+85℃ 1.8V~2.4V 120° 175mcd 40mW 584nm~594nm 596nm Discrete Diode Water Clear Yellow 0805 LED Indication - Discrete ,767876,$0.0138,SMT,20
C34499,Basic,KT-0805W,Hubei KENTO Elec,,,0805,-30℃~+85℃ 120° 13172K~100000K 2.6V~3.2V 25mA 350mcd 80mW Discrete Diode Top-mount White Yellow Lens 0805 LED Indication ,450581,$0.0182,SMT,20
C109227,Basic,LTV-817S-TA1-C,Lite-On,,,SMD-4P,"-30℃~+110℃ 1 1.2V 100mV@1mA,20mA 35V 3us 4us@2mA,100Ω 50% 50mA 50mA 5kV 600% 6V DC Phototransistor SMD-4P Transistor, Ph",269878,$0.0587,SMT,2
C109227,Basic,LTV-817S-TA1-C,Lite-On,,,SMD-4P,"-30℃~+110℃ 1 1.2V 100mV@1mA,20mA 35V 3us 4us@2mA,100Ω 50% 50mA 50mA 5kV 600% 6V DC Phototransistor SMD-4P Transistor, Ph",269878,$0.0587,SMT,5
C115450,Basic,LTV-217-B-G,Lite-On,,,SOP-4-175mil,"-55℃~+110℃ 1 1.2V 200mW 2us 3.75kV 3us 400mV@8mA,2.4mA 50% 50mA 50mA 600% 6V 70V DC Phototransistor SOP-4-175mil Transis",418418,$0.0639,SMT,5
C1523,Basic,0402B102K500NT,FH(Guangdong Fenghua Advanced Tech),Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402,1nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,5304934,$0.0011,SMT,20
C1525,Basic,CL05B104KO5NNNC,Samsung Electro-Mechanics,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,43509060,$0.0012,SMT,20
C1530,Basic,0402B221K500NT,FH(Guangdong Fenghua Advanced Tech),Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402,220pF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,1017701,$0.0010,SMT,20
